['362', '402', '663', '8', '541', '472', '995', '699', '274', '683', '178', '748', '298', '417', '923', '441', '857', '500', '388', '373']
['977', '712', '29', '370', '558', '363', '618', '554', '365', '361', '146', '542', '504', '688', '54', '282', '491', '988', '396', '381']
['955', '580', '435', '177', '814', '397', '294', '0', '123', '562', '48', '817', '7', '57', '604', '520', '300', '154', '586', '703']
['277', '564', '694', '669', '515', '701', '968', '755', '276', '26', '974', '704', '645', '555', '431', '471', '844', '421', '853', '186']
['304', '526', '973', '932', '158', '889', '97', '986', '840', '868', '438', '677', '969', '34', '670', '508', '100', '624', '359', '367']
['949', '929', '661', '940', '458', '873', '631', '366', '754', '321', '861', '906', '339', '902', '201', '845', '110', '941', '855', '884']
['875', '403', '909', '536', '484', '439', '728', '991', '750', '462', '931', '415', '629', '168', '503', '566', '423', '578', '23', '625']
['752', '389', '519', '398', '686', '705', '722', '938', '734', '372', '989', '175', '222', '983', '236', '164', '493', '788', '640', '913']
['709', '356', '211', '253', '718', '738', '727', '619', '92', '512', '50', '474', '943', '851', '25', '353', '80', '332', '319', '811']
['776', '747', '355', '976', '494', '87', '422', '693', '219', '297', '742', '86', '671', '56', '455', '59', '967', '336', '128', '162']
['947', '910', '478', '266', '559', '313', '299', '1', '101', '167', '171', '343', '990', '930', '925', '689', '781', '740', '521', '76']
['217', '487', '412', '207', '281', '596', '159', '795', '165', '659', '662', '786', '6', '635', '436', '679', '511', '839', '360', '179']
['660', '898', '551', '634', '400', '430', '767', '803', '870', '213', '142', '892', '867', '393', '954', '384', '315', '710', '636', '28']
['354', '395', '523', '937', '69', '696', '934', '342', '449', '243', '965', '642', '122', '296', '260', '777', '85', '434', '577', '93']
['305', '836', '785', '112', '687', '698', '506', '647', '846', '407', '459', '364', '170', '866', '232', '761', '758', '261', '479', '447']
['956', '121', '607', '869', '548', '88', '230', '314', '83', '842', '927', '736', '612', '212', '668', '724', '272', '893', '129', '53']
['717', '877', '143', '204', '306', '563', '546', '518', '234', '771', '323', '318', '62', '32', '864', '641', '720', '4', '5', '263']
['766', '725', '148', '242', '2', '259', '309', '111', '160', '12', '392', '269', '20', '27', '848', '759', '553', '818', '648', '16']
['570', '741', '852', '61', '448', '320', '620', '24', '796', '379', '993', '644', '820', '964', '153', '753', '527', '157', '829', '44']
['351', '901', '667', '74', '928', '9', '657', '419', '904', '255', '499', '429', '614', '789', '572', '827', '22', '267', '984', '418']
['96', '732', '780', '757', '746', '611', '684', '632', '385', '117', '623', '139', '539', '978', '424', '467', '169', '411', '140', '751']
['593', '46', '739', '457', '672', '872', '226', '383', '132', '58', '322', '470', '288', '838', '774', '763', '246', '224', '426', '682']
['480', '695', '775', '830', '464', '874', '981', '271', '524', '890', '513', '691', '31', '808', '549', '609', '377', '209', '573', '81']
['608', '161', '590', '525', '126', '17', '303', '245', '880', '382', '118', '41', '598', '673', '289', '340', '399', '622', '37', '249']
['784', '912', '428', '825', '185', '514', '858', '295', '627', '10', '826', '47', '896', '804', '651', '560', '279', '237', '528', '945']
['254', '312', '108', '801', '656', '550', '102', '256', '587', '233', '369', '765', '805', '849', '182', '917', '760', '895', '944', '290']
['492', '103', '30', '544', '922', '413', '489', '581', '879', '773', '133', '194', '953', '599', '275', '119', '871', '565', '251', '490']
['791', '280', '461', '582', '82', '903', '828', '924', '900', '899', '3', '935', '939', '113', '770', '107', '919', '409', '658', '650']
['692', '181', '18', '787', '420', '216', '380', '375', '144', '325', '756', '583', '15', '950', '11', '538', '905', '191', '235', '502']
['649', '537', '530', '628', '715', '70', '579', '196', '337', '951', '347', '67', '737', '327', '678', '914', '136', '643', '507', '915']
['406', '189', '807', '957', '258', '769', '104', '764', '887', '600', '210', '376', '468', '966', '911', '193', '664', '225', '390', '199']
['195', '40', '183', '749', '45', '227', '714', '743', '78', '414', '476', '920', '14', '450', '84', '926', '71', '639', '265', '77']
['90', '127', '987', '311', '463', '98', '897', '762', '592', '13', '141', '613', '907', '621', '286', '819', '847', '962', '443', '333']
['685', '278', '501', '352', '790', '114', '172', '446', '485', '316', '307', '547', '65', '831', '35', '942', '963', '921', '452', '885']
['719', '391', '497', '115', '273', '998', '516', '637', '894', '797', '200', '308', '166', '206', '535', '561', '180', '832', '475', '125']
['60', '228', '241', '460', '291', '91', '250', '51', '918', '147', '729', '473', '456', '75', '569', '617', '197', '646', '996', '357']
['416', '610', '151', '626', '891', '341', '999', '886', '863', '469', '21', '994', '567', '916', '137', '959', '445', '437', '616', '733']
['345', '576', '482', '726', '638', '68', '317', '882', '606', '149', '72', '816', '329', '779', '552', '798', '674', '55', '190', '960']
['799', '401', '800', '252', '802', '532', '730', '824', '150', '744', '821', '247', '130', '427', '138', '883', '850', '908', '697', '958']
['843', '792', '346', '350', '666', '405', '349', '238', '481', '772', '262', '348', '152', '326', '680', '145', '432', '94', '822', '809']
['135', '961', '368', '268', '156', '823', '979', '334', '49', '876', '330', '63', '778', '615', '568', '33', '588', '244', '498', '483']
['584', '442', '972', '533', '66', '293', '99', '860', '109', '324', '120', '371', '331', '812', '386', '794', '218', '433', '690', '264']
['214', '79', '466', '176', '310', '665', '731', '202', '52', '745', '971', '783', '985', '735', '605', '865', '706', '676', '95', '652']
['654', '723', '231', '410', '38', '952', '970', '192', '378', '358', '653', '221', '292', '239', '881', '556', '198', '517', '408', '574']
['43', '837', '980', '39', '105', '173', '815', '155', '116', '835', '338', '240', '522', '833', '131', '19', '440', '505', '948', '404']
['862', '248', '841', '834', '707', '975', '933', '454', '813', '174', '630', '510', '997', '806', '205', '453', '601', '782', '344', '531']
['571', '284', '992', '496', '188', '465', '223', '878', '557', '89', '982', '220', '721', '163', '451', '287', '595', '184', '534', '374']
['394', '42', '702', '444', '681', '585', '270', '203', '602', '543', '283', '187', '854', '793', '215', '208', '708', '64', '425', '591']
['946', '301', '633', '106', '285', '545', '655', '36', '768', '575', '477', '509', '594', '700', '302', '387', '486', '73', '936', '603']
['335', '229', '529', '495', '711', '713', '597', '134', '257', '810', '540', '589', '888', '488', '856', '716', '675', '859', '124', '328']
