['513', '185', '206', '778', '15', '797', '103']
['969', '724', '8', '796', '18', '588', '629']
['560', '404', '685', '740', '186', '677', '586']
['102', '417', '808', '345', '658', '741', '442']
['26', '122', '254', '615', '101', '255', '440']
['125', '836', '735', '745', '237', '189', '375']
['384', '869', '401', '438', '810', '281', '923']
['469', '702', '710', '145', '949', '399', '227']
['248', '78', '902', '306', '234', '173', '409']
['436', '48', '871', '292', '151', '495', '289']
['347', '472', '957', '5', '924', '954', '285']
['194', '432', '82', '60', '74', '202', '504']
['631', '817', '437', '449', '689', '622', '786']
['533', '971', '529', '515', '679', '734', '94']
['496', '177', '645', '12', '354', '389', '767']
['80', '63', '246', '307', '955', '932', '412']
['135', '325', '299', '312', '692', '887', '872']
['494', '805', '279', '339', '776', '178', '286']
['697', '216', '627', '315', '965', '241', '278']
['300', '505', '272', '559', '331', '598', '626']
['744', '218', '133', '256', '687', '24', '683']
['146', '410', '128', '444', '343', '251', '118']
['736', '55', '720', '388', '341', '157', '318']
['583', '323', '520', '480', '693', '481', '451']
['820', '296', '803', '167', '823', '545', '363']
['596', '398', '280', '696', '461', '25', '144']
['577', '213', '535', '508', '309', '95', '848']
['193', '951', '332', '972', '818', '769', '753']
['701', '749', '755', '674', '699', '606', '446']
['228', '463', '235', '479', '915', '555', '582']
['54', '198', '821', '126', '691', '96', '127']
['921', '489', '802', '528', '390', '835', '537']
['434', '373', '454', '688', '149', '886', '574']
['100', '214', '475', '302', '608', '209', '358']
['854', '526', '204', '392', '601', '860', '910']
['28', '798', '263', '673', '370', '746', '360']
['51', '435', '684', '587', '450', '212', '944']
['411', '554', '936', '889', '908', '800', '477']
['0', '641', '458', '455', '511', '491', '718']
['654', '813', '161', '76', '942', '616', '573']
['883', '885', '557', '756', '507', '21', '414']
['723', '814', '402', '38', '253', '119', '896']
['334', '594', '464', '882', '833', '273', '841']
['690', '881', '946', '947', '462', '939', '825']
['134', '781', '352', '116', '67', '605', '222']
['943', '244', '215', '236', '232', '115', '933']
['812', '408', '466', '29', '648', '649', '328']
['675', '790', '349', '561', '840', '327', '108']
['506', '320', '497', '721', '953', '888', '899']
['140', '457', '666', '792', '22', '811', '552']
['201', '578', '930', '319', '894', '620', '141']
['866', '183', '308', '276', '635', '665', '686']
['777', '705', '737', '452', '32', '391', '275']
['964', '57', '950', '45', '703', '913', '852']
['875', '591', '706', '355', '322', '914', '611']
['859', '205', '301', '760', '548', '708', '876']
['571', '394', '311', '592', '549', '113', '383']
['340', '75', '956', '50', '640', '77', '366']
['499', '377', '514', '130', '155', '536', '926']
['92', '633', '762', '180', '663', '874', '906']
['407', '420', '650', '287', '243', '621', '643']
['142', '801', '838', '387', '855', '652', '522']
['960', '150', '284', '938', '518', '123', '470']
['968', '610', '785', '482', '662', '317', '779']
['467', '445', '431', '655', '448', '524', '867']
['757', '176', '564', '581', '967', '768', '427']
['864', '33', '64', '485', '880', '381', '917']
['199', '602', '40', '795', '329', '551', '71']
['916', '676', '330', '121', '221', '35', '834']
['512', '824', '531', '580', '59', '403', '733']
['568', '361', '405', '1', '31', '97', '112']
['905', '714', '6', '295', '934', '170', '657']
['837', '294', '473', '85', '172', '474', '562']
['671', '274', '260', '565', '543', '171', '413']
['604', '970', '270', '713', '726', '3', '297']
['585', '30', '247', '184', '203', '303', '782']
['400', '940', '849', '895', '667', '558', '268']
['406', '42', '897', '456', '428', '219', '117']
['877', '681', '593', '336', '357', '259', '359']
['717', '197', '107', '49', '154', '291', '104']
['510', '230', '546', '447', '265', '639', '521']
['493', '333', '106', '277', '678', '17', '846']
['773', '569', '380', '156', '231', '542', '576']
['233', '175', '105', '152', '239', '541', '743']
['900', '321', '765', '625', '395', '223', '775']
['429', '4', '922', '66', '851', '293', '138']
['909', '680', '372', '182', '712', '245', '517']
['653', '638', '98', '225', '784', '556', '492']
['532', '738', '335', '966', '527', '544', '498']
['84', '566', '600', '338', '815', '342', '863']
['890', '313', '715', '570', '73', '572', '478']
['426', '758', '374', '89', '707', '72', '747']
['722', '393', '850', '704', '575', '41', '120']
['550', '799', '418', '304', '829', '698', '7']
['14', '316', '891', '617', '87', '928', '827']
['153', '716', '929', '599', '137', '9', '110']
['269', '282', '719', '862', '196', '242', '382']
['111', '772', '630', '912', '534', '619', '191']
['730', '853', '547', '842', '752', '501', '644']
['441', '430', '131', '618', '476', '623', '731']
['538', '486', '828', '787', '10', '385', '672']
['945', '664', '646', '519', '148', '826', '958']
['584', '344', '651', '540', '348', '694', '362']
['290', '893', '179', '682', '751', '39', '164']
['607', '839', '783', '195', '590', '597', '831']
['424', '647', '868', '832', '190', '858', '367']
['487', '224', '806', '525', '90', '147', '937']
['516', '43', '878', '415', '36', '453', '484']
['709', '139', '396', '56', '249', '770', '324']
['614', '53', '368', '422', '739', '298', '771']
['935', '963', '563', '19', '192', '27', '754']
['471', '258', '925', '211', '266', '816', '567']
['423', '419', '181', '822', '62', '129', '2']
['628', '99', '210', '379', '750', '93', '788']
['124', '337', '907', '378', '609', '69', '23']
['165', '169', '847', '267', '941', '16', '158']
['109', '918', '351', '793', '79', '656', '326']
['44', '376', '642', '91', '261', '34', '636']
['143', '168', '86', '240', '310', '468', '187']
['789', '262', '162', '523', '163', '669', '483']
['892', '857', '761', '264', '843', '861', '748']
['70', '257', '217', '959', '229', '65', '465']
['725', '208', '780', '226', '502', '397', '920']
['952', '870', '160', '353', '488', '844', '364']
['791', '661', '13', '759', '948', '660', '898']
['904', '11', '613', '369', '774', '911', '670']
['962', '365', '865', '439', '539', '132', '166']
['695', '579', '136', '83', '46', '794', '305']
['52', '819', '634', '873', '700', '459', '47']
['283', '250', '500', '763', '589', '830', '386']
['742', '200', '81', '416', '961', '809', '174']
['509', '207', '443', '346', '188', '252', '58']
['856', '220', '727', '159', '927', '288', '903']
['238', '764', '371', '356', '490', '804', '553']
['845', '271', '88', '314', '728', '919', '350']
['931', '595', '61', '637', '624', '114', '68']
['766', '603', '668', '659', '884', '20', '612']
['732', '421', '433', '530', '503', '901', '425']
['460', '729', '37']
['807']
['632']
['879']
['711']
