['129', '209', '195', '575', '916', '61', '537', '871', '456', '380', '188', '928', '846', '85', '984', '199', '967', '969', '757', '352']
['260', '840', '529', '426', '615', '652', '258', '822', '583', '477', '560', '303', '668', '626', '937', '170', '472', '639', '986', '118']
['17', '646', '829', '786', '484', '628', '323', '810', '908', '386', '616', '637', '631', '976', '975', '666', '289', '372', '659', '393']
['897', '977', '861', '457', '992', '251', '656', '751', '832', '288', '891', '54', '10', '168', '359', '753', '531', '833', '982', '214']
['772', '392', '301', '812', '215', '453', '736', '960', '538', '231', '242', '122', '613', '714', '776', '979', '228', '80', '987', '334']
['363', '980', '382', '479', '941', '306', '670', '18', '955', '222', '410', '566', '478', '785', '220', '847', '248', '553', '438', '358']
['766', '44', '874', '169', '217', '742', '176', '968', '408', '796', '821', '784', '87', '26', '125', '189', '760', '204', '608', '824']
['606', '961', '77', '154', '14', '269', '995', '505', '625', '137', '898', '157', '862', '948', '1', '368', '944', '781', '896', '888']
['539', '255', '272', '117', '139', '549', '225', '223', '930', '102', '971', '498', '330', '265', '675', '507', '491', '27', '672', '250']
['496', '754', '957', '768', '266', '115', '8', '322', '528', '782', '434', '500', '729', '956', '564', '684', '523', '680', '124', '695']
['884', '687', '91', '240', '696', '883', '621', '970', '692', '558', '158', '459', '298', '191', '561', '525', '428', '614', '310', '63']
['853', '184', '681', '515', '718', '66', '376', '325', '803', '92', '278', '32', '35', '4', '333', '919', '440', '530', '320', '644']
['998', '273', '483', '101', '682', '43', '858', '689', '645', '487', '870', '446', '113', '906', '21', '474', '738', '867', '790', '480']
['774', '365', '849', '7', '239', '912', '499', '120', '163', '206', '510', '455', '267', '664', '744', '20', '520', '329', '274', '75']
['281', '159', '544', '851', '586', '461', '221', '972', '522', '311', '147', '724', '391', '792', '563', '179', '999', '142', '79', '988']
['571', '506', '705', '198', '164', '732', '178', '384', '779', '587', '655', '401', '53', '933', '679', '138', '989', '439', '686', '698']
['723', '181', '904', '405', '119', '362', '556', '140', '807', '789', '464', '64', '595', '554', '923', '121', '942', '728', '107', '801']
['811', '780', '343', '495', '279', '371', '945', '123', '935', '432', '517', '632', '160', '598', '819', '985', '855', '624', '843', '799']
['324', '716', '844', '81', '756', '342', '421', '130', '492', '509', '551', '321', '953', '237', '618', '815', '344', '128', '918', '190']
['767', '727', '749', '349', '601', '713', '677', '389', '973', '721', '610', '806', '978', '688', '24', '3', '448', '493', '663', '460']
['839', '658', '319', '852', '503', '312', '550', '313', '607', '326', '395', '476', '473', '418', '576', '200', '678', '185', '638', '959']
['315', '348', '868', '16', '580', '135', '106', '213', '932', '588', '263', '909', '402', '950', '127', '11', '577', '836', '511', '212']
['404', '327', '562', '770', '674', '535', '818', '462', '294', '276', '486', '902', '45', '850', '58', '156', '946', '650', '914', '226']
['693', '148', '150', '934', '52', '854', '268', '794', '145', '437', '6', '830', '304', '317', '567', '619', '152', '436', '425', '318']
['518', '143', '41', '513', '504', '208', '901', '730', '471', '536', '33', '264', '873', '442', '739', '623', '230', '865', '501', '925']
['290', '735', '340', '545', '155', '694', '211', '648', '917', '328', '893', '341', '291', '765', '270', '578', '420', '202', '878', '804']
['994', '364', '70', '597', '400', '936', '314', '59', '299', '514', '962', '568', '671', '452', '599', '954', '48', '922', '752', '458']
['750', '232', '820', '216', '825', '275', '132', '826', '569', '707', '187', '555', '612', '642', '316', '435', '609', '192', '582', '286']
['71', '356', '347', '924', '527', '89', '552', '890', '697', '657', '557', '105', '763', '872', '534', '271', '396', '634', '422', '201']
['838', '38', '706', '913', '394', '660', '866', '508', '207', '126', '339', '485', '665', '594', '95', '331', '307', '875', '39', '134']
['641', '691', '633', '798', '47', '210', '69', '83', '827', '175', '574', '543', '952', '377', '892', '259', '100', '111', '627', '911']
['295', '857', '835', '725', '622', '403', '731', '62', '726', '565', '308', '296', '427', '662', '407', '512', '759', '605', '894', '25']
['429', '430', '887', '938', '974', '114', '162', '51', '722', '602', '620', '50', '667', '834', '243', '351', '983', '0', '468', '720']
['433', '416', '758', '931', '845', '57', '591', '573', '360', '463', '643', '856', '443', '788', '813', '238', '383', '629', '451', '305']
['244', '378', '241', '375', '141', '927', '630', '388', '197', '46', '481', '700', '502', '367', '685', '379', '704', '762', '337', '733']
['636', '949', '823', '524', '947', '193', '755', '951', '355', '611', '542', '603', '814', '712', '889', '245', '915', '903', '55', '991']
['431', '390', '338', '702', '775', '415', '581', '996', '990', '651', '335', '285', '346', '370', '816', '30', '701', '246', '771', '895']
['86', '218', '5', '76', '929', '521', '110', '860', '863', '647', '234', '791', '42', '411', '654', '417', '449', '36', '497', '900']
['533', '966', '419', '23', '773', '653', '94', '74', '72', '249', '475', '848', '445', '783', '381', '29', '229', '910', '596', '182']
['361', '167', '350', '103', '708', '795', '235', '277', '921', '252', '78', '683', '2', '406', '899', '149', '547', '828', '516', '34']
['572', '540', '56', '748', '104', '466', '800', '494', '920', '68', '488', '174', '345', '60', '490', '764', '886', '793', '254', '165']
['37', '399', '236', '981', '144', '166', '302', '907', '761', '787', '469', '965', '65', '413', '958', '741', '373', '940', '293', '590']
['423', '809', '532', '253', '876', '450', '993', '841', '366', '332', '745', '559', '669', '227', '93', '740', '926', '548', '354', '161']
['719', '441', '465', '173', '864', '146', '186', '743', '196', '116', '746', '414', '183', '585', '802', '256', '22', '600', '374', '997']
