['496', '47', '249', '326', '537']
['217', '100', '180', '297', '995']
['924', '763', '732', '98', '794']
['911', '220', '703', '145', '565']
['432', '319', '754', '928', '659']
['396', '454', '32', '78', '573']
['779', '819', '728', '947', '223']
['384', '961', '51', '528', '503']
['120', '956', '654', '861', '176']
['171', '3', '102', '2', '398']
['601', '722', '255', '765', '287']
['808', '693', '862', '907', '531']
['439', '986', '311', '671', '335']
['413', '678', '280', '971', '906']
['465', '306', '178', '757', '397']
['692', '203', '165', '844', '341']
['187', '963', '934', '142', '447']
['235', '138', '619', '161', '346']
['444', '302', '139', '851', '502']
['593', '796', '715', '836', '407']
['853', '854', '41', '112', '227']
['193', '8', '756', '974', '155']
['881', '711', '653', '514', '373']
['517', '473', '377', '85', '903']
['11', '199', '613', '670', '908']
['878', '83', '937', '246', '790']
['611', '985', '912', '935', '274']
['883', '29', '79', '617', '179']
['186', '158', '840', '857', '896']
['739', '450', '64', '625', '260']
['785', '361', '114', '349', '48']
['849', '848', '442', '211', '606']
['651', '364', '489', '562', '534']
['431', '376', '905', '751', '533']
['702', '86', '636', '159', '181']
['876', '997', '284', '631', '457']
['269', '776', '409', '891', '578']
['904', '300', '363', '468', '494']
['530', '536', '137', '481', '826']
['959', '902', '290', '151', '555']
['792', '216', '898', '587', '128']
['597', '422', '992', '445', '899']
['141', '559', '873', '973', '564']
['856', '16', '210', '375', '365']
['482', '19', '916', '982', '35']
['657', '33', '866', '933', '438']
['354', '772', '755', '292', '775']
['350', '901', '215', '65', '495']
['954', '357', '943', '510', '662']
['271', '6', '118', '913', '474']
['55', '887', '860', '630', '194']
['20', '273', '660', '124', '380']
['897', '650', '957', '221', '914']
['771', '358', '741', '545', '767']
['815', '105', '283', '500', '96']
['931', '554', '309', '69', '189']
['677', '314', '224', '716', '679']
['381', '136', '614', '332', '359']
['720', '694', '387', '966', '655']
['4', '812', '726', '135', '758']
['852', '770', '463', '225', '713']
['865', '618', '788', '735', '664']
['689', '175', '232', '586', '640']
['858', '484', '540', '328', '684']
['14', '148', '188', '425', '542']
['45', '846', '318', '668', '416']
['370', '122', '886', '467', '403']
['983', '333', '835', '462', '456']
['673', '23', '885', '561', '622']
['752', '140', '723', '629', '511']
['894', '633', '868', '789', '275']
['596', '736', '801', '209', '841']
['54', '43', '612', '92', '725']
['214', '719', '143', '546', '967']
['22', '600', '602', '106', '675']
['939', '798', '360', '666', '576']
['441', '498', '121', '288', '579']
['267', '91', '984', '236', '277']
['421', '525', '399', '317', '477']
['824', '295', '191', '870', '989']
['475', '488', '780', '777', '252']
['682', '265', '369', '49', '845']
['833', '256', '101', '822', '10']
['321', '701', '222', '700', '529']
['981', '938', '410', '628', '637']
['588', '688', '805', '520', '598']
['721', '708', '337', '541', '88']
['847', '522', '243', '1', '829']
['12', '119', '241', '7', '39']
['238', '994', '831', '686', '84']
['330', '843', '212', '745', '560']
['244', '111', '608', '850', '527']
['233', '294', '183', '996', '293']
['378', '526', '110', '163', '634']
['480', '201', '583', '228', '680']
['970', '968', '803', '712', '595']
['879', '516', '291', '975', '27']
['487', '717', '940', '366', '391']
['978', '382', '170', '386', '367']
['289', '797', '690', '871', '699']
['577', '493', '759', '960', '443']
['784', '21', '917', '508', '240']
['571', '813', '172', '325', '406']
['551', '36', '778', '46', '345']
['809', '855', '837', '108', '296']
['810', '773', '231', '524', '234']
['944', '710', '696', '760', '889']
['672', '951', '958', '552', '453']
['356', '515', '709', '57', '31']
['948', '953', '930', '627', '5']
['942', '895', '424', '884', '123']
['676', '80', '126', '807', '26']
['548', '305', '817', '667', '519']
['479', '838', '192', '414', '941']
['620', '195', '9', '76', '207']
['458', '656', '71', '505', '707']
['642', '404', '301', '286', '742']
['909', '204', '644', '461', '285']
['37', '750', '374', '272', '820']
['635', '926', '591', '167', '584']
['623', '729', '769', '774', '226']
['245', '116', '581', '572', '133']
['964', '544', '248', '888', '157']
['993', '802', '874', '950', '616']
['408', '34', '816', '624', '890']
['589', '117', '254', '184', '270']
['705', '38', '740', '674', '825']
['892', '426', '549', '504', '900']
['156', '70', '550', '781', '169']
['310', '190', '506', '952', '308']
['910', '834', '185', '61', '104']
['343', '746', '469', '423', '762']
['344', '791', '532', '615', '507']
['641', '312', '783', '604', '976']
['250', '786', '768', '417', '268']
['74', '647', '162', '955', '927']
['219', '323', '490', '402', '307']
['66', '539', '743', '313', '89']
['646', '969', '932', '392', '97']
['499', '828', '513', '44', '182']
['338', '605', '324', '72', '433']
['115', '582', '400', '497', '748']
['697', '877', '687', '923', '882']
['946', '68', '747', '95', '279']
['648', '766', '567', '99', '864']
['814', '867', '304', '200', '652']
['18', '146', '448', '869', '988']
['262', '415', '389', '395', '714']
['535', '977', '53', '251', '81']
['569', '160', '921', '351', '590']
['638', '695', '920', '52', '446']
['782', '585', '749', '669', '258']
['82', '327', '558', '131', '371']
['859', '787', '202', '17', '435']
['880', '342', '764', '575', '218']
['329', '594', '94', '418', '563']
['281', '915', '991', '352', '129']
['698', '460', '40', '452', '168']
['718', '93', '198', '263', '434']
['521', '322', '683', '149', '73']
['242', '405', '875', '738', '385']
['793', '999', '727', '945', '568']
['734', '276', '205', '125', '264']
['340', '316', '451', '925', '553']
['368', '823', '936', '393', '282']
['795', '472', '483', '459', '518']
['208', '56', '492', '485', '918']
['427', '60', '130', '166', '24']
['379', '152', '320', '476', '580']
['25', '990', '259', '872', '87']
['987', '471', '962', '428', '818']
['761', '412', '643', '388', '609']
['661', '706', '979', '466', '67']
['348', '266', '645', '799', '436']
['486', '90', '922', '197', '42']
['800', '144', '724', '134', '253']
['334', '150', '394', '691', '501']
['744', '592', '213', '685', '621']
['50', '419', '804', '63', '30']
['59', '839', '929', '811', '599']
['75', '547', '278', '13', '610']
['972', '626', '455', '261', '649']
['430', '753', '362', '401', '58']
['196', '383', '557', '893', '164']
['390', '919', '830', '0', '298']
['470', '420', '449', '229', '731']
['355', '153', '663', '491', '336']
['632', '247', '339', '206', '566']
['658', '132', '107', '863', '681']
['315', '303', '437', '737', '512']
['730', '543', '806', '464', '174']
['103', '28', '353', '127', '257']
['15', '347', '827', '665', '62']
['639', '429', '574', '173', '177']
['538', '570', '411', '607', '478']
['556', '440', '832', '842', '239']
['113', '237', '77', '372', '109']
['704', '965', '733', '509', '154']
['949', '821', '523', '603', '331']
['147', '299', '230', '998', '980']
