['50', '453', '36', '43', '292', '58', '287', '59', '119', '68']
['114', '137', '48', '492', '265', '165', '303', '302', '212', '463']
['399', '28', '141', '276', '174', '91', '441', '238', '428', '240']
['93', '402', '67', '358', '89', '275', '94', '474', '220', '390']
['85', '345', '423', '9', '248', '260', '258', '31', '374', '442']
['97', '235', '499', '151', '57', '246', '338', '376', '39', '347']
['132', '32', '100', '113', '224', '69', '245', '439', '222', '330']
['10', '348', '263', '398', '154', '314', '290', '336', '80', '86']
['55', '30', '202', '126', '135', '375', '386', '343', '17', '465']
['168', '466', '266', '60', '381', '310', '84', '458', '403', '136']
['225', '152', '273', '485', '449', '169', '107', '116', '351', '318']
['434', '346', '415', '306', '92', '309', '477', '223', '191', '459']
['4', '410', '124', '102', '243', '406', '426', '329', '123', '438']
['70', '143', '480', '145', '324', '163', '414', '291', '409', '472']
['106', '454', '316', '385', '372', '162', '98', '342', '334', '150']
['18', '219', '280', '337', '270', '247', '166', '368', '46', '479']
['34', '271', '344', '430', '73', '482', '362', '131', '233', '288']
['208', '307', '6', '371', '462', '445', '195', '312', '412', '47']
['377', '148', '408', '29', '211', '196', '226', '147', '325', '494']
['272', '217', '496', '26', '139', '230', '471', '20', '327', '331']
['33', '455', '435', '111', '473', '486', '421', '264', '209', '387']
['153', '493', '332', '460', '487', '101', '411', '144', '112', '378']
['299', '164', '109', '489', '326', '213', '12', '361', '189', '404']
['478', '440', '206', '149', '427', '215', '49', '160', '422', '201']
['370', '261', '133', '491', '95', '179', '194', '63', '88', '19']
['443', '352', '416', '65', '304', '190', '384', '401', '77', '313']
['296', '90', '42', '78', '469', '23', '134', '64', '159', '130']
['76', '0', '495', '52', '483', '395', '461', '161', '241', '41']
['380', '413', '218', '118', '286', '354', '366', '140', '72', '301']
['283', '228', '7', '128', '308', '207', '186', '446', '172', '203']
['237', '105', '256', '490', '323', '236', '127', '355', '62', '267']
['388', '103', '407', '252', '431', '54', '171', '14', '75', '281']
['204', '254', '300', '269', '295', '193', '197', '436', '391', '170']
['242', '37', '452', '397', '138', '456', '187', '192', '125', '470']
['74', '365', '99', '183', '257', '146', '216', '305', '488', '425']
['180', '21', '234', '400', '259', '129', '87', '394', '83', '382']
['433', '369', '364', '322', '457', '360', '419', '359', '155', '227']
['317', '293', '182', '231', '284', '262', '251', '476', '475', '13']
['282', '396', '467', '15', '175', '278', '297', '420', '22', '120']
['340', '249', '437', '157', '497', '383', '289', '417', '320', '27']
['35', '356', '82', '177', '285', '484', '367', '379', '108', '268']
['315', '178', '350', '298', '447', '389', '142', '122', '432', '205']
['229', '188', '339', '210', '311', '232', '481', '464', '392', '51']
['56', '239', '328', '198', '214', '277', '357', '221', '181', '341']
['1', '38', '335', '405', '429', '319', '279', '104', '199', '156']
['200', '333', '173', '8', '158', '66', '167', '71', '255', '24']
['45', '79', '176', '244', '11', '121', '444', '81', '349', '16']
['2', '44', '498', '353', '184', '451', '321', '185', '418', '115']
['450', '25', '373', '448', '274', '294', '468', '110', '40', '61']
['96', '393', '424', '363', '253', '5', '250', '117', '53', '3']
