['341', '638', '417', '400', '67', '355', '420', '10', '271', '957']
['474', '632', '841', '38', '753', '176', '859', '921', '205', '344']
['150', '526', '538', '518', '350', '73', '864', '836', '719', '302']
['121', '289', '374', '527', '332', '573', '930', '972', '926', '616']
['381', '549', '817', '292', '26', '956', '722', '786', '300', '253']
['318', '133', '174', '595', '913', '866', '256', '83', '699', '733']
['429', '917', '738', '459', '667', '700', '311', '321', '960', '888']
['797', '386', '456', '535', '141', '522', '486', '566', '433', '877']
['25', '41', '324', '109', '545', '855', '421', '707', '136', '944']
['779', '697', '906', '762', '334', '379', '267', '161', '682', '304']
['788', '764', '814', '331', '870', '231', '834', '111', '28', '686']
['783', '749', '850', '940', '12', '366', '575', '645', '326', '536']
['242', '48', '567', '499', '190', '0', '607', '207', '848', '340']
['831', '69', '939', '737', '851', '662', '857', '755', '432', '395']
['679', '785', '681', '899', '594', '825', '199', '962', '974', '301']
['484', '356', '548', '640', '85', '903', '337', '87', '709', '901']
['584', '969', '908', '647', '751', '735', '462', '973', '193', '363']
['649', '116', '942', '923', '766', '610', '8', '245', '151', '808']
['393', '626', '633', '139', '35', '97', '270', '568', '943', '758']
['215', '935', '294', '823', '22', '780', '729', '669', '191', '748']
['587', '466', '563', '885', '998', '257', '369', '16', '892', '937']
['145', '579', '230', '698', '776', '970', '828', '468', '402', '720']
['685', '66', '123', '172', '915', '634', '226', '377', '219', '674']
['143', '110', '945', '394', '654', '620', '978', '138', '820', '179']
['967', '793', '741', '36', '768', '148', '482', '609', '497', '533']
['368', '60', '357', '757', '163', '457', '931', '286', '64', '392']
['591', '975', '994', '879', '401', '894', '79', '330', '202', '986']
['5', '861', '274', '250', '513', '874', '504', '44', '252', '254']
['659', '168', '19', '958', '338', '290', '406', '269', '11', '142']
['354', '273', '414', '767', '624', '544', '443', '90', '582', '118']
['578', '203', '396', '770', '907', '137', '183', '343', '103', '506']
['86', '303', '329', '871', '819', '322', '891', '261', '724', '932']
['839', '658', '592', '882', '469', '275', '489', '904', '92', '284']
['546', '371', '865', '747', '710', '247', '964', '842', '492', '708']
['924', '644', '413', '411', '82', '56', '854', '781', '539', '177']
['186', '265', '194', '928', '523', '409', '791', '312', '837', '30']
['596', '880', '601', '295', '725', '277', '380', '112', '162', '281']
['235', '525', '524', '683', '18', '14', '985', '152', '739', '946']
['691', '425', '76', '13', '94', '657', '342', '283', '430', '919']
['248', '431', '537', '20', '694', '17', '590', '510', '358', '511']
['189', '775', '167', '905', '895', '266', '648', '641', '455', '178']
['259', '336', '415', '847', '477', '166', '666', '816', '613', '296']
['543', '542', '911', '826', '804', '287', '323', '571', '941', '991']
['372', '243', '170', '192', '491', '627', '57', '875', '689', '378']
['367', '982', '419', '96', '488', '977', '397', '711', '569', '728']
['665', '980', '490', '650', '74', '52', '328', '297', '869', '617']
['306', '909', '989', '585', '134', '408', '586', '325', '345', '858']
['427', '204', '7', '993', '453', '651', '410', '583', '233', '391']
['100', '675', '965', '528', '95', '988', '339', '78', '802', '236']
['800', '677', '260', '799', '2', '889', '77', '615', '127', '426']
['128', '387', '723', '293', '704', '643', '951', '440', '630', '777']
['754', '80', '473', '778', '493', '319', '496', '197', '113', '660']
['114', '702', '830', '829', '55', '37', '481', '214', '898', '105']
['348', '736', '744', '653', '154', '706', '953', '876', '516', '717']
['104', '485', '996', '61', '672', '705', '361', '180', '746', '398']
['438', '979', '101', '471', '327', '439', '268', '599', '184', '612']
['794', '89', '495', '84', '310', '564', '221', '32', '45', '784']
['671', '845', '483', '588', '878', '280', '529', '703', '246', '6']
['637', '72', '445', '968', '805', '130', '553', '500', '893', '131']
['743', '716', '984', '23', '124', '954', '263', '362', '910', '461']
['212', '463', '249', '117', '465', '551', '412', '846', '458', '929']
['761', '452', '629', '140', '200', '789', '976', '815', '146', '521']
['239', '182', '796', '314', '618', '608', '313', '508', '317', '948']
['24', '223', '115', '798', '981', '856', '165', '701', '832', '333']
['558', '812', '947', '470', '696', '997', '678', '742', '810', '833']
['803', '494', '125', '936', '562', '475', '403', '227', '70', '670']
['107', '91', '628', '389', '175', '63', '307', '756', '872', '155']
['959', '916', '695', '209', '416', '718', '399', '282', '351', '446']
['849', '299', '480', '556', '554', '1', '636', '364', '228', '727']
['272', '560', '276', '514', '390', '418', '818', '65', '990', '961']
['550', '68', '774', '890', '159', '811', '769', '216', '305', '213']
['33', '232', '623', '574', '887', '376', '750', '577', '663', '938']
['315', '813', '225', '222', '373', '602', '530', '144', '999', '349']
['241', '690', '517', '824', '255', '721', '237', '382', '347', '656']
['715', '31', '625', '479', '604', '288', '157', '244', '388', '752']
['46', '801', '407', '868', '992', '502', '606', '507', '838', '555']
['631', '559', '156', '732', '229', '106', '619', '454', '428', '335']
['835', '58', '450', '126', '4', '503', '285', '218', '320', '240']
['188', '365', '731', '464', '519', '196', '807', '472', '760', '622']
['132', '952', '570', '122', '646', '404', '158', '639', '821', '98']
['852', '621', '93', '712', '15', '460', '88', '42', '308', '680']
['995', '173', '353', '987', '950', '922', '383', '580', '853', '843']
['251', '119', '423', '896', '759', '449', '661', '561', '129', '9']
['476', '949', '714', '149', '81', '217', '352', '547', '220', '827']
['34', '655', '424', '809', '27', '160', '279', '258', '298', '900']
['238', '264', '693', '572', '147', '688', '787', '730', '593', '598']
['153', '782', '955', '448', '713', '668', '198', '47', '187', '375']
['62', '75', '652', '822', '437', '532', '384', '206', '21', '552']
['765', '605', '385', '498', '346', '763', '436', '467', '71', '512']
['370', '195', '505', '792', '422', '54', '210', '53', '676', '262']
['40', '726', '642', '912', '840', '920', '963', '614', '49', '405']
['359', '966', '934', '224', '541', '39', '881', '360', '902', '773']
['860', '441', '927', '565', '169', '687', '873', '201', '3', '772']
['611', '771', '316', '309', '914', '99', '635', '745', '534', '135']
['684', '557', '50', '933', '208', '181', '740', '673', '515', '164']
['531', '581', '59', '589', '108', '120', '886', '102', '501', '897']
['43', '435', '790', '918', '806', '185', '171', '925', '971', '867']
['434', '540', '487', '278', '600', '603', '883', '447', '211', '597']
['291', '576', '734', '509', '442', '692', '863', '444', '478', '520']
['844', '234', '983', '51', '451', '664', '795', '884', '862', '29']
