['510', '54', '658', '428', '173', '237', '955', '412', '419', '714', '181', '699', '225', '400', '53', '532', '828', '386', '788', '918']
['832', '99', '535', '648', '976', '566', '825', '160', '19', '207', '404', '200', '306', '302', '141', '314', '702', '224', '123', '870']
['849', '864', '940', '688', '507', '502', '499', '812', '168', '734', '3', '852', '968', '357', '315', '7', '340', '483', '240', '442']
['50', '356', '77', '811', '49', '463', '915', '555', '914', '858', '627', '927', '821', '324', '639', '743', '964', '706', '942', '725']
['52', '331', '310', '711', '14', '59', '930', '142', '603', '272', '951', '416', '888', '816', '593', '439', '267', '949', '42', '198']
['994', '280', '640', '307', '548', '344', '925', '252', '104', '713', '646', '570', '231', '622', '676', '451', '276', '998', '433', '717']
['479', '563', '538', '155', '197', '602', '254', '782', '733', '145', '837', '791', '190', '250', '109', '473', '827', '41', '396', '471']
['90', '829', '898', '368', '794', '810', '201', '823', '65', '972', '708', '444', '789', '542', '385', '596', '9', '25', '29', '808']
['824', '719', '893', '844', '146', '637', '11', '696', '441', '526', '429', '285', '465', '448', '814', '665', '857', '843', '541', '408']
['411', '801', '848', '171', '894', '381', '490', '369', '613', '577', '901', '842', '454', '422', '10', '187', '921', '799', '334', '478']
['910', '723', '633', '800', '982', '882', '987', '161', '299', '983', '669', '537', '16', '750', '923', '434', '68', '503', '219', '740']
['830', '323', '73', '675', '172', '961', '838', '769', '773', '389', '130', '119', '116', '268', '747', '113', '228', '79', '738', '63']
['765', '424', '710', '933', '177', '203', '786', '687', '124', '379', '114', '363', '159', '856', '595', '598', '846', '636', '671', '772']
['701', '847', '446', '712', '583', '620', '969', '239', '266', '571', '619', '270', '212', '550', '655', '1', '895', '917', '327', '612']
['393', '841', '886', '343', '900', '265', '75', '413', '365', '892', '724', '83', '185', '749', '138', '255', '962', '549', '32', '745']
['584', '366', '885', '579', '452', '37', '26', '804', '466', '354', '726', '770', '253', '874', '797', '946', '292', '403', '309', '560']
['908', '12', '787', '208', '608', '642', '992', '513', '291', '562', '278', '813', '92', '46', '117', '660', '806', '157', '661', '165']
['132', '88', '279', '617', '807', '2', '206', '551', '762', '730', '170', '122', '193', '974', '462', '580', '118', '589', '223', '227']
['430', '438', '803', '263', '492', '943', '647', '129', '833', '230', '653', '374', '695', '679', '482', '178', '965', '258', '575', '6']
['624', '89', '388', '979', '338', '594', '573', '556', '623', '34', '91', '616', '662', '718', '233', '766', '136', '328', '370', '771']
['86', '182', '625', '709', '887', '415', '432', '819', '986', '97', '698', '229', '553', '402', '795', '932', '353', '820', '421', '672']
