['448', '210', '423', '98', '689', '357', '555', '725', '275', '176', '690', '679', '434', '172', '422', '202', '492', '290', '138', '284', '186', '205', '192', '553', '389', '84', '733', '135', '114', '281', '452', '388', '517', '532', '596', '152', '355', '360', '67', '61', '99', '516', '259', '278', '366', '342', '373', '33', '719', '781']
['32', '500', '37', '110', '170', '123', '467', '618', '705', '177', '6', '587', '187', '220', '54', '69', '622', '439', '161', '238', '233', '590', '732', '168', '693', '162', '314', '113', '384', '19', '644', '610', '726', '336', '717', '489', '169', '409', '308', '792', '677', '324', '520', '127', '400', '592', '283', '482', '212', '151']
['585', '393', '356', '56', '751', '670', '340', '287', '611', '216', '66', '616', '57', '245', '514', '365', '741', '153', '263', '196', '242', '303', '475', '225', '102', '531', '787', '12', '776', '337', '266', '675', '735', '164', '21', '461', '697', '754', '207', '731', '39', '358', '654', '518', '165', '178', '678', '466', '510', '783']
['156', '313', '562', '215', '249', '391', '201', '87', '157', '525', '408', '44', '640', '524', '325', '730', '623', '432', '772', '331', '254', '72', '166', '721', '49', '268', '139', '782', '103', '295', '273', '8', '568', '671', '28', '121', '565', '309', '88', '300', '575', '394', '451', '458', '549', '546', '635', '579', '688', '473']
['17', '22', '43', '50', '747', '145', '146', '564', '64', '191', '128', '410', '558', '604', '368', '554', '289', '551', '499', '312', '376', '560', '390', '676', '18', '198', '227', '70', '527', '148', '639', '599', '662', '224', '544', '625', '760', '321', '320', '756', '299', '264', '588', '491', '244', '383', '106', '248', '272', '282']
['374', '522', '352', '46', '784', '638', '350', '252', '213', '367', '476', '35', '682', '615', '504', '183', '75', '447', '294', '407', '159', '154', '798', '59', '456', '710', '334', '115', '131', '566', '29', '200', '97', '0', '720', '188', '459', '126', '541', '454', '60', '797', '691', '709', '77', '713', '789', '4', '226', '256']
['89', '761', '595', '425', '378', '190', '279', '173', '330', '734', '529', '15', '744', '755', '235', '437', '208', '630', '641', '185', '620', '45', '74', '557', '136', '737', '698', '548', '353', '715', '9', '80', '769', '345', '559', '537', '658', '550', '445', '655', '673', '571', '683', '617', '34', '286', '116', '488', '108', '498']
['757', '199', '211', '777', '83', '659', '395', '582', '443', '753', '133', '441', '758', '326', '762', '478', '369', '247', '793', '197', '111', '656', '706', '58', '417', '403', '92', '416', '505', '118', '274', '470', '55', '507', '361', '665', '513', '171', '292', '223', '538', '332', '23', '612', '637', '593', '167', '728', '573', '748']
['528', '179', '65', '463', '736', '415', '298', '230', '25', '101', '134', '767', '556', '606', '687', '234', '577', '158', '750', '450', '285', '71', '253', '674', '426', '195', '764', '91', '318', '1', '310', '686', '485', '471', '322', '614', '301', '530', '386', '347', '436', '480', '609', '267', '771', '81', '333', '392', '217', '375']
['209', '307', '297', '182', '344', '184', '701', '627', '696', '699', '567', '759', '521', '433', '41', '765', '636', '371', '724', '607', '94', '203', '572', '335', '96', '515', '474', '497', '648', '580', '444', '427', '48', '119', '540', '420', '31', '745', '363', '739', '484', '502', '643', '404', '86', '109', '271', '288', '411', '206']
['457', '387', '563', '328', '581', '150', '317', '628', '435', '668', '692', '542', '315', '490', '51', '738', '429', '40', '652', '232', '362', '794', '241', '495', '251', '129', '174', '740', '723', '774', '204', '512', '419', '402', '243', '605', '430', '257', '634', '663', '707', '786', '702', '646', '780', '424', '36', '329', '194', '533']
['47', '440', '399', '468', '377', '222', '642', '143', '149', '619', '545', '305', '763', '685', '236', '594', '27', '93', '218', '364', '799', '398', '479', '323', '291', '68', '306', '535', '265', '667', '132', '666', '76', '11', '472', '85', '469', '296', '773', '193', '574', '708', '10', '319', '645', '629', '716', '694', '583', '144']
['477', '602', '508', '231', '413', '237', '412', '718', '240', '464', '122', '401', '280', '302', '680', '175', '657', '380', '576', '695', '140', '633', '714', '142', '626', '219', '586', '431', '5', '228', '591', '597', '137', '523', '90', '700', '304', '351', '79', '519', '506', '38', '214', '795', '727', '453', '509', '462', '26', '483']
['790', '785', '501', '112', '534', '258', '460', '95', '270', '712', '768', '722', '570', '743', '632', '359', '465', '24', '543', '16', '684', '379', '603', '147', '20', '486', '672', '107', '418', '421', '117', '349', '155', '130', '746', '338', '621', '354', '381', '124', '262', '348', '547', '578', '30', '561', '396', '455', '261', '78']
['752', '100', '779', '406', '446', '584', '372', '493', '73', '778', '397', '13', '494', '239', '82', '511', '536', '62', '250', '221', '385', '729', '613', '405', '189', '791', '382', '703', '7', '624', '120', '52', '255', '316', '339', '552', '631', '277', '647', '42', '649', '293', '608', '749', '327', '788', '742', '704', '601', '428']
['104', '496', '229', '653', '539', '14', '311', '246', '3', '681', '63', '598', '414', '487', '796', '600', '269', '181', '503', '775', '125', '664', '766', '711', '105', '650', '160', '589', '449', '343', '346', '569', '370', '661', '260', '438', '2', '660', '53', '526', '341', '651', '180', '442', '141', '669', '163', '481', '276', '770']
