['294', '558', '470', '744', '495', '296', '833', '590', '506', '690', '395', '686', '311', '903', '444', '527', '238', '524', '809', '803', '532', '479', '766', '122', '45', '876', '988', '716', '312', '467', '93', '863', '166', '847', '511', '471', '740', '73', '255', '98', '741', '362', '121', '739', '11', '103', '791', '413', '486', '265']
['114', '504', '663', '730', '617', '889', '544', '978', '925', '643', '729', '371', '894', '440', '462', '596', '968', '664', '24', '963', '646', '4', '191', '473', '764', '80', '785', '636', '474', '974', '81', '351', '339', '701', '951', '562', '919', '877', '546', '308', '595', '645', '278', '74', '799', '252', '39', '454', '380', '780']
['186', '927', '571', '670', '297', '202', '862', '679', '651', '605', '128', '592', '610', '868', '387', '797', '962', '911', '827', '195', '209', '890', '52', '13', '469', '392', '100', '505', '839', '130', '697', '678', '49', '649', '260', '965', '985', '281', '163', '117', '771', '361', '288', '602', '279', '669', '385', '192', '196', '904']
['408', '726', '406', '917', '834', '513', '631', '520', '514', '722', '502', '179', '545', '244', '540', '314', '455', '652', '402', '808', '853', '140', '295', '872', '147', '384', '20', '496', '7', '190', '181', '510', '557', '14', '433', '174', '912', '820', '804', '135', '424', '430', '59', '218', '993', '188', '710', '389', '2', '541']
['666', '515', '354', '801', '698', '929', '480', '727', '665', '608', '453', '326', '62', '684', '606', '659', '712', '619', '758', '106', '404', '198', '262', '989', '525', '241', '331', '777', '379', '725', '376', '885', '64', '133', '898', '150', '807', '6', '806', '189', '33', '60', '699', '254', '940', '818', '204', '946', '157', '101']
['284', '63', '756', '503', '264', '9', '107', '861', '337', '930', '959', '576', '352', '635', '125', '452', '397', '368', '268', '165', '802', '754', '463', '856', '642', '322', '508', '848', '845', '333', '410', '394', '419', '187', '609', '746', '748', '112', '79', '3', '886', '315', '908', '422', '10', '613', '221', '172', '918', '372']
['280', '569', '920', '113', '71', '742', '245', '979', '318', '949', '639', '482', '793', '982', '267', '349', '623', '291', '816', '417', '761', '775', '589', '689', '879', '947', '464', '223', '987', '425', '493', '774', '327', '685', '169', '936', '5', '745', '499', '629', '205', '423', '29', '884', '585', '411', '677', '910', '998', '142']
['707', '483', '796', '236', '950', '858', '15', '668', '618', '182', '448', '70', '655', '855', '640', '276', '120', '873', '591', '65', '990', '864', '501', '426', '400', '357', '58', '149', '696', '901', '902', '490', '632', '88', '412', '676', '270', '634', '815', '47', '50', '44', '549', '787', '366', '108', '878', '935', '942', '85']
['497', '838', '573', '360', '817', '215', '977', '900', '823', '247', '102', '143', '168', '830', '193', '906', '403', '421', '537', '343', '870', '534', '895', '438', '921', '955', '484', '273', '231', '561', '614', '67', '516', '683', '570', '662', '625', '105', '401', '478', '542', '896', '773', '782', '468', '436', '750', '719', '290', '518']
['723', '705', '375', '253', '538', '355', '711', '954', '465', '768', '717', '53', '772', '976', '68', '176', '737', '706', '233', '219', '522', '548', '90', '509', '321', '378', '132', '286', '22', '248', '673', '398', '660', '12', '34', '647', '753', '19', '713', '200', '96', '846', '732', '866', '568', '674', '638', '763', '661', '382']
['139', '75', '194', '967', '703', '588', '56', '203', '259', '759', '559', '805', '778', '760', '348', '299', '94', '390', '826', '519', '180', '650', '587', '599', '693', '560', '87', '206', '995', '365', '432', '854', '928', '446', '779', '933', '61', '627', '437', '116', '529', '109', '842', '27', '409', '580', '566', '439', '849', '232']
['604', '656', '185', '991', '227', '769', '249', '860', '702', '531', '344', '564', '383', '110', '175', '207', '341', '586', '251', '95', '708', '914', '328', '266', '271', '329', '115', '431', '792', '603', '852', '724', '567', '289', '212', '32', '616', '55', '798', '258', '235', '507', '932', '364', '457', '738', '263', '124', '164', '428']
['342', '158', '69', '767', '476', '607', '819', '76', '718', '952', '37', '274', '621', '584', '460', '733', '926', '427', '922', '31', '715', '99', '869', '335', '35', '320', '653', '441', '897', '226', '91', '293', '892', '123', '749', '825', '657', '434', '283', '781', '865', '316', '418', '981', '688', '336', '225', '565', '734', '916']
['201', '381', '42', '167', '822', '161', '939', '752', '414', '594', '17', '277', '23', '789', '443', '923', '681', '836', '867', '700', '420', '224', '762', '396', '765', '144', '786', '957', '183', '229', '210', '84', '731', '309', '345', '405', '416', '630', '941', '637', '915', '369', '891', '104', '16', '1', '776', '250', '18', '800']
['887', '154', '821', '131', '600', '242', '234', '137', '269', '197', '220', '338', '89', '577', '332', '373', '574', '843', '691', '835', '213', '554', '905', '572', '388', '119', '399', '983', '261', '597', '837', '256', '282', '626', '325', '611', '893', '757', '40', '298', '888', '494', '459', '228', '152', '579', '449', '57', '310', '958']
['980', '155', '292', '937', '472', '393', '966', '306', '363', '353', '628', '543', '48', '145', '578', '601', '41', '111', '313', '972', '475', '217', '456', '563', '177', '257', '882', '36', '429', '83', '523', '728', '539', '170', '996', '850', '598', '127', '899', '359', '86', '675', '118', '909', '743', '667', '466', '246', '21', '216']
['304', '938', '28', '953', '984', '556', '593', '961', '829', '184', '658', '581', '237', '811', '551', '356', '582', '134', '784', '943', '859', '747', '795', '46', '222', '367', '687', '330', '575', '770', '447', '924', '986', '709', '377', '517', '960', '461', '302', '350', '26', '620', '553', '129', '287', '156', '875', '500', '488', '300']
['275', '695', '755', '641', '407', '814', '880', '680', '536', '840', '521', '346', '77', '239', '477', '51', '644', '721', '971', '301', '512', '624', '583', '714', '871', '973', '391', '874', '450', '948', '964', '956', '735', '612', '92', '334', '841', '487', '535', '633', '790', '435', '72', '824', '844', '615', '881', '944', '547', '442']
['82', '492', '550', '159', '970', '54', '857', '370', '323', '812', '0', '654', '138', '458', '136', '530', '736', '907', '692', '160', '214', '672', '208', '832', '992', '648', '78', '720', '931', '851', '303', '682', '340', '445', '173', '347', '794', '828', '489', '230', '481', '240', '43', '552', '415', '153', '30', '671', '243', '151']
