['425', '229', '844', '930', '928', '921', '761', '577', '487', '45']
['641', '123', '412', '841', '355', '3', '269', '187', '931', '748']
['801', '125', '376', '646', '207', '817', '454', '121', '712', '845']
['11', '975', '318', '32', '525', '743', '683', '754', '153', '406']
['519', '772', '664', '457', '842', '912', '491', '380', '327', '730']
['189', '804', '689', '176', '290', '615', '451', '701', '752', '473']
['753', '421', '759', '644', '466', '158', '322', '272', '505', '347']
['717', '44', '483', '710', '308', '708', '56', '737', '655', '231']
['131', '215', '110', '677', '398', '201', '328', '951', '70', '909']
['569', '503', '222', '626', '391', '733', '22', '282', '58', '442']
['178', '106', '404', '609', '634', '674', '354', '884', '681', '831']
['721', '149', '777', '206', '181', '246', '399', '191', '114', '233']
['37', '995', '28', '789', '766', '302', '364', '870', '301', '903']
['294', '97', '685', '371', '498', '220', '295', '478', '167', '471']
['811', '374', '645', '774', '262', '790', '85', '668', '23', '686']
['527', '704', '234', '540', '108', '722', '441', '578', '227', '816']
['209', '245', '523', '53', '508', '520', '113', '851', '813', '837']
['338', '490', '773', '823', '452', '902', '696', '126', '518', '853']
['210', '468', '779', '795', '516', '941', '658', '818', '864', '552']
['292', '783', '828', '438', '889', '585', '742', '690', '253', '69']
['560', '477', '284', '587', '8', '484', '959', '709', '833', '403']
['129', '579', '827', '159', '183', '481', '436', '150', '718', '130']
['608', '846', '193', '769', '797', '213', '796', '268', '411', '694']
['555', '976', '274', '47', '134', '857', '299', '601', '617', '324']
['287', '166', '852', '663', '952', '14', '502', '94', '446', '865']
['745', '36', '171', '574', '223', '387', '325', '727', '778', '303']
['137', '297', '143', '476', '27', '672', '190', '226', '800', '953']
['659', '808', '949', '350', '141', '450', '762', '707', '985', '794']
['248', '243', '157', '212', '366', '107', '904', '997', '418', '103']
['266', '345', '228', '987', '978', '470', '542', '898', '729', '225']
['423', '405', '485', '24', '239', '642', '610', '821', '177', '13']
['824', '252', '854', '140', '38', '977', '397', '205', '133', '65']
['101', '734', '337', '265', '749', '273', '152', '598', '202', '920']
['251', '793', '249', '839', '840', '906', '344', '699', '89', '430']
['164', '500', '401', '122', '389', '756', '746', '855', '77', '963']
['214', '79', '899', '460', '679', '653', '872', '232', '947', '46']
['283', '834', '716', '638', '996', '192', '465', '887', '288', '607']
['475', '785', '551', '881', '673', '711', '612', '736', '575', '706']
['480', '700', '83', '291', '341', '604', '363', '352', '656', '343']
['592', '458', '488', '242', '289', '757', '633', '431', '271', '305']
['825', '154', '669', '627', '377', '820', '16', '960', '31', '514']
['974', '812', '849', '139', '395', '648', '203', '535', '427', '970']
['414', '392', '172', '891', '59', '467', '5', '882', '495', '792']
['50', '68', '443', '758', '763', '590', '9', '536', '208', '330']
['714', '237', '315', '735', '925', '989', '264', '531', '335', '603']
['424', '684', '956', '862', '66', '462', '969', '148', '543', '362']
['680', '497', '429', '724', '417', '331', '570', '981', '907', '132']
