['345', '665', '394', '399', '63', '514', '547', '129', '677', '60']
['151', '651', '796', '432', '351', '139', '172', '289', '175', '306']
['533', '236', '562', '74', '290', '300', '279', '697', '671', '639']
['454', '160', '131', '701', '19', '166', '784', '795', '312', '790']
['661', '544', '55', '542', '538', '321', '143', '169', '713', '2']
['760', '344', '657', '258', '656', '789', '658', '64', '158', '109']
['756', '684', '437', '740', '702', '266', '202', '509', '311', '303']
['17', '480', '776', '435', '531', '738', '277', '23', '649', '13']
['603', '291', '325', '548', '462', '343', '25', '156', '58', '198']
['342', '669', '727', '564', '248', '666', '42', '349', '622', '283']
['53', '226', '171', '339', '645', '183', '630', '163', '469', '152']
['304', '423', '749', '786', '631', '513', '391', '333', '794', '687']
['419', '577', '186', '117', '113', '707', '593', '618', '71', '705']
['334', '479', '242', '501', '43', '47', '86', '85', '558', '341']
['499', '146', '539', '609', '216', '494', '210', '332', '184', '572']
['98', '39', '367', '227', '647', '41', '597', '626', '232', '223']
['35', '350', '359', '154', '574', '44', '150', '385', '637', '464']
['188', '408', '397', '698', '316', '107', '94', '257', '699', '356']
['217', '375', '617', '252', '360', '676', '234', '674', '569', '302']
['120', '596', '689', '119', '352', '168', '124', '754', '565', '185']
['600', '619', '144', '460', '772', '492', '125', '589', '403', '371']
['482', '165', '780', '442', '635', '441', '369', '379', '416', '284']
['668', '271', '586', '374', '308', '451', '133', '598', '91', '8']
['270', '324', '444', '365', '330', '797', '265', '10', '95', '319']
['742', '511', '32', '149', '110', '473', '791', '741', '726', '331']
['346', '51', '679', '132', '301', '594', '114', '748', '167', '229']
['164', '573', '798', '159', '792', '519', '194', '500', '712', '660']
['118', '395', '413', '650', '434', '148', '366', '299', '785', '68']
['566', '732', '161', '45', '0', '224', '512', '458', '241', '685']
['557', '313', '440', '682', '401', '59', '545', '61', '643', '743']
['753', '559', '695', '498', '327', '180', '763', '601', '354', '228']
['6', '199', '115', '779', '46', '761', '429', '218', '706', '81']
['450', '200', '735', '320', '16', '560', '667', '96', '673', '78']
['455', '174', '361', '3', '778', '362', '214', '134', '716', '526']
['245', '336', '541', '213', '62', '79', '207', '447', '549', '459']
['192', '773', '26', '256', '238', '476', '307', '141', '506', '422']
['221', '286', '672', '22', '576', '398', '764', '692', '382', '578']
['12', '269', '288', '105', '532', '276', '568', '621', '411', '179']
['80', '757', '495', '553', '652', '190', '715', '414', '211', '378']
['467', '610', '33', '393', '67', '653', '483', '230', '767', '390']
['747', '108', '282', '48', '357', '571', '396', '182', '97', '181']
['664', '728', '485', '84', '355', '212', '604', '389', '731', '272']
['775', '638', '552', '602', '678', '323', '260', '75', '364', '766']
['633', '409', '625', '36', '466', '261', '370', '427', '736', '259']
['516', '752', '376', '546', '704', '310', '612', '663', '465', '457']
['783', '34', '11', '127', '430', '543', '40', '5', '237', '111']
['718', '57', '431', '273', '348', '535', '644', '104', '420', '521']
['616', '157', '317', '686', '262', '225', '530', '215', '205', '496']
['219', '504', '297', '452', '744', '595', '405', '251', '363', '517']
['38', '624', '106', '70', '490', '588', '696', '145', '415', '240']
['721', '615', '737', '27', '193', '799', '138', '130', '220', '724']
['675', '629', '201', '694', '37', '294', '793', '515', '642', '607']
['140', '428', '507', '632', '52', '87', '700', '590', '723', '406']
['322', '421', '627', '250', '717', '153', '614', '309', '147', '65']
['386', '527', '443', '477', '620', '587', '189', '384', '581', '703']
['338', '72', '777', '474', '233', '178', '285', '488', '90', '305']
['128', '518', '471', '681', '392', '540', '14', '295', '418', '787']
['693', '358', '249', '76', '377', '636', '634', '66', '340', '89']
['9', '537', '570', '662', '774', '126', '751', '591', '116', '407']
['750', '680', '29', '475', '18', '575', '487', '314', '191', '472']
['263', '136', '640', '264', '203', '582', '112', '534', '493', '453']
['404', '463', '278', '253', '353', '387', '691', '710', '771', '579']
['528', '555', '628', '368', '30', '247', '383', '758', '187', '424']
['176', '337', '759', '162', '745', '584', '468', '448', '670', '722']
['491', '583', '196', '28', '613', '102', '209', '765', '135', '4']
['648', '446', '122', '720', '296', '170', '782', '563', '82', '380']
['551', '281', '438', '54', '123', '21', '417', '373', '121', '88']
['328', '733', '470', '489', '381', '155', '244', '1', '103', '505']
['73', '525', '478', '456', '92', '197', '101', '243', '486', '287']
['461', '623', '280', '235', '788', '410', '83', '606', '412', '556']
['524', '449', '769', '585', '318', '329', '372', '274', '688', '711']
['655', '206', '580', '69', '605', '50', '523', '326', '520', '646']
['293', '708', '137', '173', '222', '93', '529', '502', '725', '683']
['439', '239', '388', '599', '56', '425', '347', '508', '292', '142']
['100', '275', '267', '77', '503', '781', '654', '400', '730', '204']
['719', '768', '709', '177', '255', '755', '550', '641', '592', '231']
['659', '554', '510', '481', '99', '611', '522', '268', '746', '433']
['770', '536', '484', '208', '7', '246', '690', '436', '31', '24']
['298', '15', '195', '426', '567', '608', '402', '335', '762', '734']
['714', '497', '254', '49', '739', '445', '315', '20', '561', '729']
