['426', '235', '197', '407', '423', '194', '447', '209', '369', '267']
['223', '172', '247', '467', '51', '344', '23', '155', '43', '287']
['24', '295', '459', '225', '67', '377', '7', '402', '359', '36']
['386', '113', '162', '334', '303', '94', '102', '13', '275', '215']
['122', '56', '376', '330', '132', '312', '487', '370', '355', '354']
['460', '129', '30', '328', '248', '2', '131', '484', '417', '44']
['313', '331', '182', '462', '1', '14', '245', '365', '292', '437']
['349', '498', '148', '185', '111', '271', '366', '241', '6', '441']
['341', '253', '116', '469', '117', '41', '205', '345', '392', '98']
['415', '428', '22', '429', '439', '298', '466', '420', '367', '183']
['96', '305', '180', '322', '488', '234', '169', '109', '329', '470']
['119', '9', '361', '52', '83', '396', '220', '492', '296', '140']
['34', '161', '338', '497', '284', '212', '340', '146', '115', '408']
['37', '321', '62', '472', '208', '18', '143', '397', '128', '55']
['485', '351', '63', '90', '270', '272', '399', '133', '229', '435']
['233', '12', '495', '216', '381', '206', '78', '252', '384', '158']
['405', '403', '478', '97', '188', '10', '318', '431', '363', '214']
['184', '461', '221', '410', '45', '286', '448', '170', '483', '211']
['261', '406', '32', '411', '210', '186', '65', '350', '323', '191']
['280', '307', '454', '195', '61', '53', '76', '277', '222', '276']
['200', '17', '60', '388', '256', '490', '285', '144', '141', '48']
['357', '19', '15', '105', '72', '189', '81', '412', '91', '422']
['343', '342', '242', '390', '353', '3', '456', '87', '458', '364']
['75', '82', '314', '436', '499', '232', '39', '306', '440', '177']
['178', '171', '391', '398', '196', '68', '300', '476', '198', '393']
['106', '308', '244', '190', '383', '335', '88', '293', '126', '42']
['80', '395', '491', '317', '159', '347', '107', '246', '137', '362']
['288', '103', '450', '59', '413', '496', '202', '336', '290', '40']
['230', '449', '145', '112', '20', '164', '175', '179', '337', '379']
['228', '231', '168', '124', '4', '468', '262', '163', '274', '160']
['374', '356', '320', '302', '260', '204', '130', '227', '389', '438']
['50', '181', '123', '16', '294', '444', '380', '240', '26', '213']
['193', '360', '433', '297', '92', '268', '35', '157', '333', '46']
['134', '258', '249', '71', '281', '69', '452', '138', '47', '165']
['86', '263', '239', '301', '125', '66', '486', '99', '110', '11']
['463', '315', '421', '149', '264', '176', '73', '8', '173', '127']
['217', '151', '358', '79', '332', '401', '348', '58', '325', '371']
['265', '375', '85', '259', '54', '309', '93', '451', '100', '95']
['154', '299', '465', '251', '255', '474', '310', '226', '0', '480']
['471', '289', '135', '57', '409', '266', '120', '108', '269', '327']
['257', '425', '443', '203', '453', '445', '238', '394', '114', '101']
['167', '218', '339', '31', '446', '372', '385', '418', '416', '201']
['424', '250', '481', '419', '187', '291', '174', '147', '104', '382']
['153', '282', '29', '273', '279', '33', '455', '27', '475', '136']
['25', '84', '473', '378', '21', '457', '319', '28', '77', '434']
['387', '89', '414', '156', '427', '192', '400', '5', '278', '368']
['219', '70', '254', '64', '494', '404', '493', '224', '304', '346']
['121', '237', '482', '326', '150', '442', '139', '352', '432', '311']
['49', '243', '118', '316', '38', '236', '464', '477', '199', '283']
['142', '207', '152', '373', '324', '479', '430', '166', '489']
['74']
