['513', '25', '329', '784', '736', '715', '410', '108', '746', '542', '700', '791', '192', '359', '698', '124', '550', '764', '271', '364', '783', '725', '541', '790', '769', '557', '196', '649', '585', '265', '132', '444']
['682', '193', '183', '67', '601', '537', '327', '287', '656', '368', '88', '712', '433', '526', '130', '232', '214', '729', '414', '797', '224', '302', '405', '648', '125', '60', '583', '8', '252', '620', '560', '233']
['706', '150', '446', '186', '589', '85', '639', '540', '77', '679', '220', '72', '635', '600', '312', '778', '99', '618', '19', '149', '82', '376', '63', '210', '755', '379', '730', '607', '264', '708', '116', '431']
['768', '96', '555', '231', '638', '314', '199', '447', '201', '521', '588', '475', '185', '508', '461', '320', '333', '305', '455', '695', '500', '285', '371', '97', '662', '426', '387', '780', '592', '676', '23', '628']
['594', '420', '31', '397', '304', '416', '296', '632', '1', '299', '745', '315', '240', '351', '360', '404', '419', '319', '775', '281', '394', '324', '770', '566', '159', '153', '599', '621', '486', '505', '645', '713']
['456', '685', '90', '641', '119', '603', '484', '742', '123', '691', '493', '346', '571', '793', '211', '472', '578', '626', '61', '504', '418', '396', '442', '565', '298', '716', '279', '717', '702', '517', '187', '160']
['259', '234', '669', '206', '687', '50', '758', '720', '754', '407', '98', '498', '471', '242', '789', '604', '403', '102', '531', '191', '777', '338', '56', '392', '198', '568', '659', '684', '584', '556', '435', '47']
['543', '18', '33', '48', '257', '336', '139', '474', '188', '278', '273', '738', '527', '276', '344', '21', '307', '147', '291', '89', '759', '288', '0', '562', '490', '672', '761', '250', '11', '55', '46', '744']
['722', '617', '398', '369', '152', '762', '587', '533', '514', '136', '156', '367', '131', '343', '611', '331', '297', '212', '753', '558', '569', '640', '612', '439', '494', '22', '322', '17', '460', '492', '459', '561']
['36', '345', '254', '779', '134', '605', '200', '458', '694', '668', '424', '438', '386', '241', '79', '197', '253', '52', '142', '118', '269', '750', '485', '292', '104', '274', '608', '747', '519', '727', '692', '549']
['529', '483', '389', '518', '422', '798', '579', '776', '347', '105', '30', '225', '262', '209', '277', '110', '141', '395', '491', '377', '248', '103', '308', '570', '652', '690', '165', '218', '651', '10', '42', '366']
['400', '238', '316', '525', '532', '109', '337', '87', '773', '437', '321', '361', '2', '665', '411', '282', '625', '470', '536', '162', '468', '671', '363', '509', '591', '788', '86', '731', '189', '221', '115', '630']
['445', '661', '680', '202', '454', '545', '623', '71', '479', '5', '128', '148', '270', '290', '667', '286', '544', '663', '554', '465', '365', '83', '49', '703', '375', '146', '381', '516', '245', '637', '334', '352']
['512', '3', '774', '393', '107', '258', '169', '752', '501', '69', '577', '342', '450', '194', '413', '408', '430', '326', '385', '284', '643', '749', '619', '289', '44', '743', '228', '255', '624', '593', '39', '469']
['522', '609', '441', '741', '415', '144', '207', '432', '785', '101', '575', '448', '161', '353', '402', '328', '135', '582', '466', '473', '268', '178', '168', '37', '151', '223', '429', '84', '204', '170', '794', '678']
['681', '782', '497', '409', '598', '325', '462', '660', '524', '177', '112', '530', '167', '230', '399', '184', '203', '615', '674', '421', '548', '68', '480', '266', '417', '114', '9', '172', '737', '373', '317', '356']
['739', '138', '53', '235', '237', '106', '133', '496', '406', '45', '380', '34', '294', '293', '453', '158', '586', '217', '573', '425', '633', '208', '205', '164', '572', '489', '43', '251', '154', '229', '434', '595']
['126', '733', '390', '401', '622', '515', '310', '29', '728', '412', '503', '792', '16', '213', '478', '94', '40', '658', '65', '443', '339', '735', '26', '246', '260', '723', '559', '440', '370', '357', '176', '653']
['696', '350', '629', '348', '155', '528', '179', '547', '263', '677', '121', '38', '362', '464', '57', '15', '143', '28', '27', '64', '378', '647', '355', '606', '495', '581', '718', '726', '137', '66', '463', '799']
['574', '787', '318', '563', '12', '335', '249', '721', '247', '709', '655', '766', '523', '551', '520', '41', '243', '358', '710', '32', '91', '477', '436', '80', '510', '372', '686', '256', '145', '546', '182', '539']
['507', '117', '423', '75', '313', '506', '482', '227', '657', '303', '174', '666', '756', '236', '340', '644', '646', '650', '175', '683', '330', '74', '295', '323', '388', '675', '171', '4', '481', '771', '765', '190']
['244', '704', '502', '166', '54', '740', '767', '796', '719', '62', '272', '195', '786', '427', '92', '452', '457', '81', '261', '113', '616', '602', '552', '215', '535', '693', '597', '732', '58', '701', '772', '59']
['70', '428', '590', '748', '534', '180', '451', '631', '93', '654', '564', '35', '538', '384', '332', '499', '511', '613', '760', '216', '280', '120', '301', '7', '181', '173', '688', '614', '699', '76', '374', '24']
['576', '111', '73', '724', '13', '795', '487', '127', '449', '20', '488', '751', '226', '78', '309', '553', '239', '610', '219', '275', '673', '311', '705', '642', '349', '781', '283', '51', '391', '6', '689', '670']
['122', '664', '140', '757', '341', '14', '267', '163', '711', '580', '467', '567', '129', '734', '383', '636', '95', '627', '596', '763', '300', '382', '634', '714', '306', '707', '697', '157', '354', '222', '476', '100']
