['80', '397', '378', '391', '76', '229', '282', '138', '372', '338']
['147', '124', '225', '86', '180', '286', '140', '369', '295', '374']
['219', '256', '145', '192', '25', '381', '37', '302', '87', '288']
['155', '88', '43', '361', '200', '28', '10', '362', '204', '366']
['304', '343', '72', '163', '399', '245', '281', '73', '373', '318']
['254', '249', '107', '3', '187', '228', '268', '32', '206', '265']
['46', '352', '160', '365', '212', '97', '157', '119', '232', '183']
['395', '53', '6', '283', '315', '66', '89', '178', '194', '63']
['93', '9', '205', '164', '127', '220', '354', '224', '167', '370']
['340', '15', '382', '112', '198', '52', '83', '106', '196', '59']
['380', '259', '328', '337', '148', '125', '269', '96', '65', '156']
['114', '305', '85', '141', '217', '358', '213', '396', '172', '22']
['321', '95', '171', '275', '7', '348', '24', '77', '363', '214']
['45', '41', '27', '345', '13', '339', '42', '216', '238', '296']
['100', '168', '182', '357', '118', '210', '278', '67', '90', '300']
['273', '329', '250', '199', '131', '284', '261', '133', '56', '190']
['277', '234', '16', '242', '309', '108', '239', '92', '184', '314']
['356', '325', '169', '209', '175', '150', '31', '36', '333', '193']
['35', '116', '326', '230', '306', '165', '218', '158', '244', '186']
['280', '154', '23', '109', '62', '349', '253', '161', '279', '368']
['78', '197', '322', '33', '271', '151', '173', '49', '262', '237']
['142', '71', '290', '74', '159', '136', '350', '121', '276', '166']
['334', '104', '386', '257', '331', '274', '54', '0', '29', '103']
['384', '353', '251', '351', '346', '134', '69', '129', '1', '240']
['223', '208', '231', '2', '20', '111', '227', '191', '221', '12']
['291', '26', '376', '387', '188', '264', '128', '176', '390', '327']
['360', '375', '319', '202', '248', '203', '211', '385', '143', '82']
['122', '236', '293', '39', '14', '120', '34', '301', '170', '99']
['19', '102', '40', '252', '48', '58', '266', '226', '44', '94']
['132', '123', '117', '298', '153', '260', '330', '181', '258', '60']
['359', '394', '316', '311', '17', '126', '47', '332', '398', '115']
['64', '11', '371', '149', '162', '393', '389', '21', '344', '364']
['243', '185', '312', '207', '174', '287', '342', '75', '4', '263']
['367', '130', '79', '285', '297', '8', '179', '113', '310', '341']
['84', '317', '247', '308', '110', '392', '270', '51', '388', '379']
['38', '303', '57', '292', '98', '289', '177', '135', '255', '137']
['201', '18', '246', '81', '5', '195', '294', '307', '324', '68']
['336', '335', '323', '30', '70', '91', '139', '241', '144', '189']
['146', '101', '152', '267', '320', '222', '272', '377', '383', '347']
['215', '61', '299', '105', '233', '355', '313', '55', '235']
['50']
