['367', '48', '68', '76', '85', '87', '108', '124', '136', '158', '164', '187', '206', '211', '219', '293', '295', '301', '319', '333', '342', '345', '350', '351', '354']
['226', '356', '358', '360', '363', '364', '365', '369', '370', '372', '373', '374', '436', '460', '478', '15', '36', '64', '100', '112', '162', '171', '179', '181', '207']
['118', '208', '225', '228', '229', '231', '232', '236', '237', '239', '240', '243', '244', '245', '247', '248', '255', '268', '296', '305', '306', '309', '378', '390', '449']
['241', '456', '4', '45', '58', '60', '101', '102', '103', '104', '105', '107', '109', '110', '111', '113', '115', '116', '117', '119', '120', '121', '122', '123', '135']
['53', '154', '221', '242', '277', '303', '353', '357', '402', '410', '463', '1', '106', '133', '165', '186', '196', '217', '218', '227', '230', '233', '234', '235', '238']
['91', '304', '355', '366', '371', '382', '477', '481', '483', '16', '51', '52', '56', '57', '59', '61', '62', '63', '65', '66', '70', '71', '73', '74', '212']
['246', '222', '249', '252', '261', '266', '270', '300', '307', '308', '386', '416', '428', '431', '484', '11', '19', '77', '78', '79', '80', '82', '83', '86', '89']
['349', '90', '92', '95', '97', '98', '99', '148', '150', '155', '167', '203', '274', '278', '331', '408', '429', '497', '28', '29', '84', '174', '199', '214', '284']
['426', '325', '392', '399', '444', '450', '467', '482', '41', '47', '125', '128', '145', '157', '183', '262', '329', '330', '332', '334', '335', '336', '339', '340', '343']
['488', '346', '347', '389', '413', '437', '480', '10', '93', '250', '276', '281', '381', '383', '419', '427', '430', '432', '435', '440', '441', '442', '443', '445', '446']
['23', '447', '489', '496', '156', '213', '302', '412', '465', '475', '476', '479', '485', '487', '490', '491', '493', '494', '495', '498', '3', '5', '7', '8', '9']
['46', '13', '18', '24', '54', '75', '142', '160', '220', '267', '439', '25', '31', '32', '33', '34', '37', '38', '40', '42', '43', '44', '49', '94', '147']
['163', '170', '178', '185', '294', '299', '405', '407', '434', '129', '140', '151', '153', '159', '161', '166', '169', '173', '182', '253', '321', '324', '341', '448', '492']
['201', '499', '144', '189', '200', '202', '209', '210', '215', '216', '223', '224', '272', '315', '422', '464', '469', '263', '326', '387', '433', '20', '55', '192', '259']
['348', '359', '361', '400', '21', '127', '193', '323', '327', '404', '406', '411', '414', '415', '418', '420', '421', '423', '424', '6', '12', '14', '39', '195', '260']
['352', '311', '396', '2', '17', '69', '138', '141', '256', '258', '176', '177', '180', '184', '188', '190', '191', '194', '197', '271', '486', '26', '27', '30', '35']
['417', '50', '67', '72', '81', '88', '96', '114', '126', '130', '131', '132', '134', '137', '139', '143', '146', '149', '152', '168', '172', '175', '204', '205', '251']
['0', '254', '257', '264', '265', '269', '273', '275', '279', '280', '282', '283', '285', '286', '287', '288', '289', '290', '291', '292', '297', '298', '310', '312', '313']
['22', '314', '316', '317', '318', '320', '322', '328', '337', '338', '344', '362', '368', '375', '376', '377', '379', '380', '384', '385', '388', '391', '393', '394', '395']
['198', '397', '398', '401', '403', '409', '425', '438', '451', '452', '453', '454', '455', '457', '458', '459', '461', '462', '466', '468', '470', '471', '472', '473', '474']
