['276', '54', '104', '110', '148', '149', '162', '196', '197', '210', '216', '281', '297', '305', '409', '416', '420', '427', '437', '219']
['417', '52', '63', '186', '199', '211', '248', '249', '311', '331', '340', '379', '392', '402', '403', '410', '423', '449', '472', '483']
['31', '39', '56', '89', '94', '141', '147', '168', '217', '270', '277', '278', '300', '310', '313', '342', '397', '447', '465', '482']
['45', '22', '62', '105', '139', '166', '176', '203', '298', '323', '341', '365', '395', '441', '456', '457', '461', '470', '478', '479']
['160', '3', '24', '27', '28', '41', '87', '100', '112', '134', '140', '200', '204', '221', '257', '272', '286', '318', '405', '368']
['251', '5', '36', '51', '75', '91', '107', '111', '114', '119', '171', '189', '218', '263', '279', '284', '337', '376', '425', '293']
['489', '10', '19', '32', '66', '83', '84', '183', '223', '287', '299', '348', '387', '400', '407', '419', '439', '445', '448', '459']
['432', '33', '38', '74', '95', '124', '155', '169', '201', '225', '233', '289', '294', '336', '349', '351', '390', '414', '424', '431']
['230', '20', '72', '130', '132', '152', '213', '322', '377', '386', '396', '401', '429', '450', '460', '477', '481', '487', '370', '475']
['372', '17', '21', '43', '120', '142', '143', '144', '173', '174', '175', '229', '239', '244', '266', '271', '275', '317', '347', '369']
['435', '11', '13', '29', '47', '69', '76', '102', '133', '184', '207', '215', '227', '236', '295', '296', '301', '335', '344', '374']
['254', '25', '30', '42', '46', '49', '88', '96', '154', '205', '241', '315', '364', '381', '385', '411', '440', '444', '452', '455']
['181', '2', '6', '15', '50', '106', '129', '136', '179', '192', '224', '290', '314', '354', '358', '361', '382', '413', '438', '265']
['476', '0', '58', '92', '146', '170', '194', '235', '258', '261', '321', '326', '328', '329', '350', '367', '383', '462', '468', '469']
['26', '8', '23', '68', '93', '118', '125', '151', '156', '185', '273', '307', '327', '345', '359', '375', '398', '451', '466', '101']
['153', '53', '55', '64', '90', '113', '128', '159', '178', '222', '232', '259', '309', '330', '333', '346', '404', '406', '418', '428']
['4', '40', '77', '123', '182', '267', '338', '378', '389', '399', '463', '486', '491', '493', '494', '495', '497', '498', '499', '356']
['380', '18', '85', '86', '108', '117', '145', '163', '164', '172', '228', '240', '291', '292', '355', '362', '363', '373', '391', '393']
['59', '48', '57', '79', '180', '187', '198', '234', '247', '260', '285', '308', '316', '324', '325', '415', '421', '442', '453', '473']
['255', '14', '35', '81', '109', '158', '167', '212', '237', '253', '262', '269', '280', '283', '306', '320', '353', '422', '434', '443']
['243', '78', '98', '116', '127', '165', '190', '246', '264', '268', '366', '388', '394', '433', '454', '467', '471', '484', '488', '492']
['352', '44', '67', '121', '135', '191', '206', '282', '288', '319', '408', '430', '436', '458', '464', '474', '480', '485', '490', '334']
['302', '60', '65', '97', '103', '115', '126', '137', '150', '195', '208', '220', '238', '242', '303', '304', '360', '371', '412', '426']
['122', '1', '7', '61', '73', '80', '99', '131', '157', '177', '202', '209', '214', '226', '231', '245', '250', '332', '339', '496']
['138', '9', '12', '16', '34', '37', '70', '71', '82', '161', '188', '193', '252', '256', '274', '312', '343', '357', '384', '446']
