['233', '48', '117', '139', '154', '170', '191', '232', '241', '271', '295', '298', '345', '348', '360', '374', '381', '395', '396', '398']
['390', '15', '29', '37', '53', '63', '64', '97', '160', '212', '256', '282', '287', '290', '346', '355', '362', '364', '388', '389']
['140', '14', '19', '56', '60', '66', '90', '92', '107', '115', '122', '145', '148', '158', '164', '176', '244', '277', '337', '356']
['332', '36', '39', '104', '133', '142', '143', '157', '167', '178', '189', '201', '210', '217', '223', '258', '285', '305', '315', '330']
['208', '2', '20', '21', '33', '54', '87', '89', '113', '152', '184', '213', '230', '255', '259', '270', '278', '281', '309', '328']
['24', '7', '22', '41', '52', '77', '123', '173', '185', '209', '229', '243', '320', '340', '342', '350', '354', '371', '380', '382']
['151', '34', '40', '98', '124', '257', '266', '267', '286', '312', '326', '347', '349', '359', '365', '368', '384', '392', '397', '399']
['121', '0', '6', '12', '38', '74', '84', '91', '100', '153', '162', '174', '200', '211', '215', '240', '250', '293', '317', '341']
['156', '8', '27', '31', '35', '51', '57', '71', '78', '95', '127', '146', '163', '171', '218', '220', '249', '260', '321', '338']
['331', '17', '18', '30', '47', '62', '93', '106', '110', '111', '128', '141', '150', '179', '181', '183', '206', '221', '226', '231']
['193', '25', '44', '49', '69', '76', '81', '99', '109', '126', '129', '172', '187', '204', '247', '272', '276', '283', '310', '327']
['367', '9', '23', '102', '119', '125', '168', '182', '192', '203', '216', '227', '246', '269', '275', '280', '284', '311', '324', '325']
['79', '67', '70', '88', '130', '180', '190', '197', '207', '219', '263', '265', '291', '302', '357', '358', '361', '375', '383', '391']
['177', '1', '5', '13', '16', '96', '116', '131', '132', '137', '144', '159', '166', '202', '214', '224', '225', '242', '292', '300']
['289', '32', '45', '46', '61', '65', '85', '112', '118', '165', '186', '188', '205', '253', '254', '279', '299', '301', '313', '314']
['161', '42', '55', '86', '105', '134', '155', '169', '194', '251', '319', '323', '351', '352', '363', '366', '370', '372', '385', '393']
['379', '3', '10', '26', '101', '149', '196', '198', '228', '274', '294', '306', '307', '333', '373', '376', '377', '378', '386', '394']
['245', '4', '75', '80', '83', '94', '103', '114', '195', '199', '236', '237', '239', '248', '304', '308', '329', '334', '369', '387']
['138', '43', '50', '58', '72', '82', '108', '135', '175', '252', '262', '264', '268', '273', '288', '322', '336', '339', '344', '353']
['73', '11', '28', '59', '68', '120', '136', '147', '222', '234', '235', '238', '261', '296', '297', '303', '316', '318', '335', '343']
