['431', '421', '443', '222', '285']
['399', '352', '478', '217', '175']
['350', '376', '417', '442', '55']
['283', '406', '21', '31', '11']
['343', '355', '200', '318', '213']
['204', '13', '44', '199', '375']
['182', '319', '89', '140', '331']
['451', '57', '437', '241', '168']
['436', '173', '404', '184', '183']
['170', '195', '107', '365', '408']
['233', '186', '46', '393', '467']
['286', '20', '482', '165', '189']
['154', '472', '211', '364', '480']
['114', '326', '18', '387', '108']
['461', '7', '405', '78', '193']
['481', '3', '77', '205', '99']
['381', '61', '137', '310', '116']
['296', '228', '16', '323', '374']
['309', '74', '401', '429', '382']
['174', '373', '230', '172', '237']
['207', '106', '119', '388', '129']
['479', '396', '276', '378', '123']
['24', '299', '6', '494', '65']
['187', '389', '247', '226', '484']
['337', '386', '266', '158', '390']
['242', '26', '224', '38', '163']
['257', '56', '146', '371', '488']
['126', '300', '274', '151', '473']
['4', '303', '198', '232', '111']
['202', '73', '458', '197', '471']
['424', '69', '258', '444', '496']
['358', '465', '336', '410', '261']
['148', '177', '145', '273', '499']
['324', '428', '384', '434', '469']
['317', '425', '166', '464', '185']
['448', '284', '150', '12', '45']
['47', '131', '243', '369', '49']
['35', '347', '8', '363', '10']
['138', '161', '341', '221', '490']
['356', '460', '54', '403', '51']
['218', '53', '155', '105', '141']
['244', '219', '315', '322', '92']
['412', '85', '462', '196', '493']
['383', '109', '190', '489', '220']
['246', '75', '335', '81', '28']
['160', '236', '40', '214', '385']
['96', '395', '346', '59', '76']
['102', '191', '86', '206', '268']
['360', '32', '414', '254', '459']
['208', '110', '159', '400', '142']
['362', '112', '349', '320', '345']
['133', '229', '413', '277', '95']
['306', '234', '409', '398', '23']
['147', '271', '298', '308', '176']
['188', '275', '314', '498', '152']
['251', '289', '71', '342', '339']
['366', '264', '487', '344', '287']
['353', '113', '252', '248', '118']
['144', '370', '262', '194', '42']
['164', '90', '180', '470', '70']
['203', '256', '269', '391', '330']
['372', '58', '239', '316', '433']
['380', '305', '427', '411', '100']
['82', '415', '486', '477', '485']
['354', '293', '260', '22', '167']
['419', '127', '407', '379', '101']
['340', '449', '98', '294', '392']
['27', '426', '418', '43', '312']
['338', '2', '288', '48', '290']
['62', '357', '265', '291', '272']
['94', '367', '238', '267', '0']
['263', '227', '5', '439', '452']
['245', '351', '361', '225', '104']
['476', '497', '432', '115', '192']
['103', '457', '249', '282', '295']
['83', '29', '466', '483', '435']
['329', '120', '41', '445', '179']
['36', '420', '279', '135', '19']
['210', '333', '253', '25', '39']
['91', '307', '492', '80', '67']
['281', '259', '157', '313', '325']
['491', '455', '201', '450', '441']
['33', '280', '124', '79', '97']
['153', '30', '134', '394', '72']
['63', '181', '231', '34', '301']
['139', '66', '178', '359', '132']
['121', '240', '17', '1', '117']
['223', '50', '215', '292', '377']
['209', '438', '68', '348', '311']
['255', '235', '422', '212', '162']
['453', '216', '15', '128', '397']
['122', '327', '468', '250', '9']
['334', '52', '64', '440', '149']
['136', '14', '430', '446', '278']
['297', '125', '416', '454', '332']
['60', '87', '402', '270', '463']
['88', '475', '156', '302', '474']
['447', '37', '171', '93', '143']
['84', '130', '328', '456', '495']
['304', '423', '368', '169', '321']
