['23', '17', '98', '122', '160', '209', '237', '277', '330', '343', '344', '371', '383', '389', '391', '392', '394', '449', '455', '473']
['28', '48', '55', '60', '109', '153', '180', '184', '198', '211', '350', '385', '405', '422', '427', '433', '445', '457', '462', '467']
['438', '43', '63', '139', '199', '272', '299', '302', '334', '352', '374', '388', '431', '442', '451', '452', '460', '461', '466', '470']
['40', '4', '38', '78', '96', '111', '168', '213', '243', '270', '271', '325', '342', '396', '407', '410', '423', '456', '463', '464']
['76', '15', '82', '84', '88', '127', '189', '227', '275', '303', '308', '316', '336', '338', '349', '446', '454', '475', '482', '490']
['404', '8', '33', '44', '108', '125', '147', '152', '187', '202', '205', '207', '225', '257', '291', '301', '306', '400', '430', '447']
['238', '13', '24', '72', '86', '92', '133', '136', '137', '195', '215', '226', '276', '287', '412', '421', '448', '459', '472', '474']
['18', '32', '34', '91', '135', '142', '223', '259', '274', '290', '365', '406', '434', '479', '481', '484', '492', '493', '498', '499']
['81', '21', '61', '83', '124', '222', '231', '253', '263', '310', '314', '323', '333', '341', '347', '353', '357', '368', '369', '376']
['469', '27', '52', '67', '100', '102', '120', '130', '150', '154', '162', '183', '265', '284', '305', '320', '322', '329', '362', '387']
['149', '29', '31', '141', '143', '172', '188', '218', '224', '247', '440', '444', '468', '471', '476', '477', '483', '486', '487', '496']
['255', '1', '35', '90', '134', '175', '208', '234', '254', '268', '269', '285', '300', '311', '321', '377', '384', '393', '408', '415']
['288', '6', '85', '132', '181', '203', '229', '232', '279', '282', '294', '297', '348', '355', '358', '378', '401', '402', '413', '450']
['351', '57', '107', '110', '129', '185', '204', '239', '241', '307', '319', '346', '361', '363', '411', '414', '418', '419', '453', '465']
['79', '46', '64', '99', '114', '115', '117', '164', '167', '196', '197', '216', '266', '267', '317', '354', '366', '367', '382', '398']
['260', '9', '12', '19', '26', '30', '128', '144', '166', '176', '179', '242', '244', '273', '328', '332', '364', '395', '399', '417']
['0', '3', '45', '59', '113', '119', '145', '171', '174', '177', '186', '201', '210', '281', '309', '313', '359', '379', '429', '441']
['315', '36', '49', '66', '71', '89', '93', '94', '101', '156', '157', '217', '251', '324', '331', '380', '403', '428', '432', '489']
['121', '14', '37', '50', '68', '112', '159', '169', '192', '219', '256', '280', '318', '326', '360', '370', '373', '381', '437', '443']
['75', '16', '70', '80', '155', '190', '286', '312', '345', '416', '435', '439', '458', '478', '480', '488', '491', '494', '495', '497']
['397', '2', '65', '69', '73', '74', '104', '106', '118', '126', '148', '163', '178', '214', '230', '236', '252', '278', '340', '372']
['420', '5', '22', '25', '41', '47', '51', '58', '77', '97', '138', '161', '200', '206', '246', '304', '375', '390', '425', '54']
['221', '7', '20', '42', '87', '123', '140', '158', '165', '173', '182', '191', '193', '220', '233', '235', '250', '296', '335', '409']
['95', '10', '11', '53', '56', '62', '105', '131', '151', '170', '194', '228', '240', '248', '249', '261', '293', '298', '339', '356']
['283', '39', '103', '116', '146', '212', '245', '258', '262', '264', '289', '292', '295', '327', '337', '386', '424', '426', '436', '485']
