['72', '70', '29', '374', '152', '92', '125', '253', '175', '0', '52', '326', '190', '21', '128', '80', '277', '78', '158', '298']
['200', '39', '263', '134', '14', '225', '376', '221', '368', '255', '286', '353', '168', '95', '348', '350', '131', '333', '62', '281']
['150', '17', '323', '378', '155', '138', '178', '361', '141', '252', '144', '385', '25', '354', '391', '106', '395', '359', '202', '189']
['270', '46', '173', '383', '43', '5', '41', '94', '232', '121', '287', '64', '114', '103', '302', '362', '218', '98', '140', '97']
['283', '303', '188', '60', '280', '398', '226', '222', '207', '156', '129', '133', '375', '123', '197', '289', '297', '291', '259', '220']
['201', '390', '164', '195', '240', '300', '85', '351', '355', '373', '344', '32', '208', '389', '48', '115', '309', '223', '162', '328']
['26', '308', '212', '166', '193', '9', '24', '239', '28', '87', '271', '59', '90', '304', '337', '20', '151', '279', '22', '88']
['295', '210', '1', '50', '68', '69', '301', '247', '387', '349', '6', '108', '321', '73', '382', '107', '149', '99', '327', '75']
['285', '184', '61', '146', '198', '163', '313', '357', '233', '160', '91', '262', '35', '86', '101', '288', '34', '40', '318', '177']
['58', '299', '176', '37', '219', '369', '367', '242', '137', '314', '139', '341', '343', '236', '169', '215', '174', '206', '56', '157']
['272', '248', '136', '33', '381', '268', '322', '331', '2', '109', '82', '336', '293', '49', '260', '74', '342', '81', '7', '371']
['269', '254', '3', '230', '330', '399', '10', '386', '339', '110', '388', '196', '325', '275', '96', '310', '290', '243', '23', '51']
['181', '104', '276', '42', '372', '306', '256', '377', '317', '117', '296', '127', '235', '267', '393', '370', '338', '363', '319', '246']
['257', '67', '113', '360', '307', '38', '214', '71', '171', '241', '394', '384', '396', '238', '266', '234', '118', '194', '100', '216']
['142', '312', '11', '199', '365', '265', '124', '119', '170', '217', '45', '112', '345', '8', '380', '284', '132', '245', '211', '205']
['356', '324', '44', '273', '102', '335', '79', '159', '63', '116', '105', '66', '172', '224', '204', '36', '182', '392', '153', '120']
['352', '16', '148', '237', '126', '244', '111', '203', '379', '27', '329', '15', '19', '315', '130', '397', '347', '227', '187', '274']
['122', '292', '334', '179', '31', '54', '143', '186', '251', '213', '191', '55', '261', '154', '228', '229', '4', '135', '332', '180']
['294', '320', '53', '278', '258', '183', '364', '84', '89', '231', '209', '346', '366', '264', '18', '47', '161', '282', '250', '145']
['57', '305', '77', '192', '311', '316', '340', '30', '147', '167', '185', '12', '65', '358', '93', '83', '13', '249']
