['297', '3', '7', '10', '54', '63', '72', '84', '122', '148', '150', '195', '227', '230', '238', '249', '291', '293', '339', '367', '378', '393', '460']
['82', '26', '38', '55', '101', '140', '147', '190', '241', '245', '256', '281', '295', '298', '325', '345', '352', '375', '403', '459', '471', '490', '493']
['380', '1', '9', '16', '21', '65', '117', '138', '162', '204', '210', '213', '226', '264', '333', '340', '357', '385', '439', '440', '455', '467', '478']
['299', '0', '17', '28', '81', '83', '129', '196', '285', '315', '366', '424', '449', '466', '468', '473', '476', '488', '496', '497', '498', '499', '180']
['5', '44', '46', '52', '58', '79', '90', '168', '181', '182', '186', '221', '240', '302', '306', '312', '404', '422', '428', '432', '435', '463', '469']
['381', '30', '41', '50', '68', '70', '102', '105', '120', '130', '135', '160', '194', '216', '217', '258', '265', '270', '288', '308', '350', '355', '402']
['433', '22', '24', '61', '104', '112', '119', '125', '137', '139', '144', '222', '303', '359', '364', '390', '421', '458', '462', '464', '470', '477', '480']
['89', '18', '31', '80', '100', '121', '272', '319', '330', '356', '379', '411', '414', '442', '450', '491', '492', '494']
['389', '13', '15', '87', '103', '113', '126', '127', '167', '170', '246', '250', '254', '296', '322', '332', '354', '383', '395', '407', '418', '429', '443']
['472', '11', '40', '64', '92', '109', '161', '166', '184', '205', '207', '215', '225', '234', '269', '277', '290', '318', '321', '343', '396', '398', '417']
['434', '45', '95', '118', '156', '172', '176', '209', '218', '248', '251', '252', '255', '259', '279', '301', '304', '316', '347', '376', '384', '397', '416']
['405', '6', '8', '56', '98', '158', '171', '200', '203', '237', '242', '244', '257', '273', '276', '284', '287', '365', '387', '415', '423', '425', '448']
['313', '4', '32', '34', '35', '37', '60', '75', '97', '110', '114', '128', '183', '198', '228', '229', '274', '342', '394', '399', '401', '430', '461']
['263', '2', '42', '59', '69', '76', '88', '99', '149', '155', '157', '164', '169', '174', '187', '188', '197', '267', '275', '338', '353', '370', '371']
['93', '51', '107', '115', '134', '142', '154', '199', '220', '247', '271', '300', '305', '307', '326', '336', '341', '349', '368', '377', '438', '441', '444']
['324', '67', '71', '74', '108', '116', '132', '179', '223', '278', '280', '283', '289', '309', '317', '337', '373', '413', '447', '451', '456', '457']
['363', '33', '85', '133', '141', '152', '175', '212', '232', '268', '282', '362', '372', '400', '408', '409', '410', '431', '454', '465', '475', '487', '489']
['27', '29', '39', '53', '57', '77', '111', '124', '163', '206', '214', '224', '235', '243', '335', '360', '369', '392', '412', '427', '437', '479', '485']
['294', '20', '25', '49', '94', '96', '146', '159', '177', '211', '219', '231', '233', '239', '266', '286', '327', '328', '329', '346', '386', '406', '420']
['86', '62', '91', '131', '136', '151', '173', '178', '253', '260', '310', '311', '323', '334', '351', '382', '391', '419', '445', '452', '453', '483', '484']
['320', '12', '14', '19', '23', '43', '47', '143', '145', '153', '201', '202', '261', '262', '314', '331', '344', '348', '358', '361', '374', '388', '436']
['48', '36', '66', '73', '78', '106', '123', '165', '185', '189', '191', '192', '193', '208', '236', '292', '426', '446', '474', '481', '482', '486', '495']
