['61', '182', '497', '6', '31', '318', '344', '388', '305', '249']
['363', '313', '215', '392', '124', '204', '239', '56', '259', '340']
['304', '468', '14', '198', '127', '321', '330', '35', '453', '323']
['202', '491', '148', '372', '53', '272', '135', '19', '485', '390']
['230', '476', '492', '236', '66', '334', '39', '448', '413', '195']
['30', '3', '222', '99', '268', '59', '107', '68', '298', '396']
['151', '74', '43', '409', '197', '264', '25', '152', '471', '434']
['447', '87', '324', '32', '311', '224', '429', '274', '421', '98']
['319', '278', '308', '225', '143', '108', '129', '279', '44', '12']
['93', '132', '384', '145', '260', '293', '157', '196', '290', '169']
['469', '312', '465', '105', '79', '96', '161', '357', '212', '258']
['265', '276', '28', '428', '219', '284', '131', '402', '168', '238']
['24', '378', '144', '84', '371', '57', '229', '423', '479', '348']
['95', '90', '266', '416', '231', '72', '126', '189', '366', '415']
['332', '248', '306', '52', '130', '338', '100', '185', '125', '404']
['177', '254', '430', '121', '426', '142', '115', '201', '20', '192']
['114', '22', '391', '346', '83', '482', '255', '133', '333', '315']
['48', '362', '94', '425', '317', '214', '7', '194', '466', '164']
['296', '292', '375', '175', '481', '411', '23', '455', '235', '92']
['253', '473', '21', '433', '18', '37', '150', '406', '381', '450']
['50', '158', '289', '383', '80', '247', '297', '422', '341', '499']
['109', '216', '331', '233', '243', '159', '160', '122', '140', '451']
['186', '374', '101', '359', '181', '261', '443', '489', '106', '477']
['439', '335', '10', '464', '15', '149', '440', '82', '240', '155']
['173', '29', '81', '400', '65', '210', '77', '301', '180', '33']
['13', '242', '459', '156', '461', '269', '288', '387', '104', '303']
['302', '245', '494', '277', '445', '228', '97', '452', '55', '398']
['103', '478', '112', '474', '62', '441', '364', '86', '385', '382']
['51', '213', '199', '287', '343', '71', '221', '208', '174', '252']
['226', '365', '347', '1', '138', '206', '218', '246', '405', '373']
['85', '263', '184', '46', '282', '457', '111', '45', '137', '316']
['207', '431', '183', '417', '436', '67', '271', '89', '401', '353']
['280', '217', '307', '342', '146', '355', '49', '119', '408', '326']
['386', '262', '291', '139', '322', '147', '462', '294', '449', '379']
['420', '349', '314', '11', '188', '310', '407', '250', '203', '281']
['369', '190', '273', '419', '472', '211', '300', '9', '166', '167']
['26', '329', '320', '2', '470', '356', '438', '483', '237', '367']
['257', '325', '17', '285', '368', '117', '435', '193', '490', '267']
['40', '220', '498', '141', '191', '154', '256', '69', '38', '209']
['432', '350', '73', '496', '460', '54', '424', '118', '244', '458']
['227', '102', '442', '47', '487', '153', '5', '283', '76', '437']
['337', '234', '309', '486', '270', '328', '495', '123', '91', '179']
['488', '327', '116', '480', '120', '299', '286', '4', '251', '41']
['380', '414', '163', '467', '475', '64', '88', '8', '358', '70']
['295', '205', '403', '377', '389', '395', '397', '427', '456', '136']
['36', '178', '78', '200', '232', '134', '128', '170', '60', '275']
['463', '172', '113', '176', '360', '361', '418', '75', '171', '336']
['393', '370', '241', '484', '394', '376', '16', '412', '444', '351']
['63', '352', '34', '162', '446', '27', '58', '165', '339', '454']
['42', '354', '410', '493', '223', '399', '110', '345', '187', '0']
