['109', '108', '115', '152', '253', '273', '333', '383', '412', '440']
['178', '93', '95', '220', '275', '395', '425', '437', '450', '465']
['363', '80', '99', '200', '236', '286', '349', '376', '406', '483']
['151', '245', '251', '264', '419', '451', '458', '479', '494']
['35', '2', '54', '134', '230', '358', '394', '409', '448', '455']
['146', '19', '33', '101', '112', '120', '142', '188', '214', '233']
['416', '13', '89', '121', '222', '261', '311', '339', '343', '351']
['83', '50', '59', '139', '144', '155', '162', '227', '290', '294']
['265', '4', '21', '174', '203', '225', '338', '362', '431', '445']
['386', '18', '25', '77', '213', '215', '235', '283', '353', '414']
['17', '31', '219', '297', '356', '398', '403', '405', '407', '432']
['118', '104', '204', '241', '272', '318', '380', '415', '466', '485']
['79', '30', '87', '105', '119', '133', '159', '202', '254', '342']
['97', '24', '60', '367', '436', '449', '463', '468', '474', '481']
['247', '113', '153', '255', '312', '322', '368', '378', '422', '435']
['280', '15', '57', '88', '250', '314', '316', '364', '470', '488']
['149', '8', '90', '98', '107', '141', '179', '191', '325', '340']
['287', '41', '56', '145', '289', '295', '460', '464', '475', '478']
['303', '7', '22', '70', '94', '259', '307', '323', '401', '442']
['373', '100', '125', '268', '365', '371', '408', '411', '423', '472']
['335', '39', '106', '148', '166', '209', '216', '304', '384', '410']
['262', '3', '47', '55', '64', '68', '135', '177', '181', '277']
['320', '42', '161', '164', '218', '292', '337', '399', '402', '441']
['44', '45', '53', '91', '224', '228', '249', '276', '306', '400']
['180', '11', '40', '117', '138', '165', '195', '237', '330', '369']
['260', '147', '154', '157', '201', '242', '315', '347', '360', '375']
['257', '29', '43', '111', '126', '129', '231', '278', '326', '345']
['143', '6', '62', '122', '140', '186', '192', '282', '388', '424']
['329', '46', '63', '72', '137', '167', '187', '279', '346', '359']
['313', '123', '163', '210', '301', '404', '428', '439', '452', '476']
['206', '32', '34', '110', '156', '173', '300', '327', '350', '389']
['27', '20', '74', '172', '226', '281', '319', '381', '430', '438']
['61', '9', '86', '246', '271', '377', '420', '447', '461', '473']
['84', '36', '71', '92', '102', '205', '240', '296', '317', '336']
['127', '263', '355', '357', '387', '391', '454', '457', '480', '487']
['361', '309', '382', '443', '453', '462', '484', '492', '495']
['198', '69', '124', '132', '176', '207', '266', '293', '370', '397']
['469', '65', '73', '75', '78', '116', '158', '193', '199', '232']
['305', '16', '37', '76', '81', '82', '85', '229', '234', '299']
['67', '196', '211', '302', '385', '413', '444', '489']
['160', '5', '38', '189', '341', '348', '372', '379', '433', '434']
['136', '130', '194', '212', '284', '298', '344', '352', '393', '421']
['28', '14', '26', '48', '58', '150', '171', '175', '288', '291']
['217', '1', '185', '221', '331', '374', '390', '418', '459', '490']
['270', '12', '114', '128', '169', '239', '243', '248', '332', '396']
['429', '49', '96', '103', '170', '258', '267', '446', '482', '486']
['274', '23', '66', '208', '324', '328', '354', '366', '471', '477']
['493', '168', '190', '223', '244', '252', '269', '285', '310', '321']
['417', '52', '308', '334', '392', '426', '456', '467', '491']
['427', '10', '51', '131', '182', '183', '184', '197', '238', '256']
