['134', '69', '249', '287', '329', '1', '171', '11', '121', '191']
['97', '61', '184', '195', '226', '245', '284', '365', '393', '396']
['328', '71', '139', '204', '342', '344', '373', '376', '384', '389']
['156', '20', '113', '163', '187', '289', '304', '345', '353', '371']
['362', '67', '94', '95', '111', '202', '212', '229', '235', '285']
['277', '170', '246', '291', '317', '348', '354', '386', '398', '131']
['200', '54', '138', '145', '280', '315', '325', '327', '332', '364']
['10', '43', '60', '86', '189', '288', '350', '363', '379', '382']
['4', '37', '68', '104', '209', '218', '263', '302', '310', '326']
['211', '12', '19', '153', '157', '196', '197', '286', '293', '322']
['361', '13', '36', '46', '47', '142', '148', '336', '352', '91']
['271', '55', '126', '185', '193', '254', '356', '357', '375', '151']
['244', '169', '179', '247', '258', '260', '281', '292', '295', '141']
['34', '33', '73', '125', '144', '154', '279', '303', '370', '374']
['99', '180', '203', '259', '294', '349', '369', '372', '391', '397']
['21', '15', '117', '122', '127', '306', '316', '377', '390', '399']
['23', '28', '44', '84', '93', '176', '183', '205', '213', '225']
['381', '58', '65', '114', '262', '264', '305', '323', '324', '201']
['276', '70', '87', '110', '119', '128', '160', '175', '252', '351']
['82', '74', '116', '140', '242', '339', '346', '367', '395', '231']
['38', '53', '78', '90', '102', '112', '155', '167', '172', '234']
['380', '2', '18', '25', '100', '107', '130', '297', '341', '358']
['22', '7', '27', '31', '50', '143', '152', '158', '266', '338']
['96', '5', '16', '42', '49', '62', '64', '192', '238', '241']
['190', '6', '79', '81', '129', '147', '186', '208', '250', '255']
['272', '24', '85', '177', '188', '221', '224', '239', '253', '343']
['8', '17', '29', '83', '168', '178', '236', '243', '283', '307']
['320', '9', '52', '105', '232', '330', '340', '347', '378', '392']
['275', '51', '137', '146', '164', '166', '182', '207', '223', '230']
['26', '77', '89', '92', '118', '217', '274', '278', '308', '312']
['233', '76', '103', '106', '206', '215', '228', '261', '161', '331']
['56', '80', '120', '124', '150', '199', '256', '359', '360', '368']
['214', '32', '48', '66', '132', '269', '282', '290', '296', '333']
['75', '40', '88', '108', '149', '159', '174', '219', '222', '319']
['383', '39', '57', '133', '198', '210', '227', '237', '313', '334']
['135', '123', '248', '265', '268', '270', '300', '318', '321', '251']
['181', '109', '115', '220', '240', '257', '267', '273', '309']
['45', '30', '35', '41', '162', '165', '298', '335', '355', '366']
['299', '3', '59', '63', '98', '136', '173', '216', '301', '314']
['14', '72', '194', '311', '337', '385', '387', '388', '394', '101']
