['296', '4', '5', '86', '90', '106', '127', '152', '158', '160', '177', '202', '211', '243', '264', '304', '306', '346', '352', '380', '409', '410', '448', '451']
['119', '16', '40', '73', '79', '82', '100', '114', '134', '138', '144', '157', '205', '207', '223', '234', '237', '239', '251', '254', '265', '313', '323', '334']
['143', '32', '43', '52', '80', '107', '115', '147', '151', '156', '180', '191', '210', '222', '236', '276', '294', '319', '322', '326', '330', '362', '366', '424']
['439', '12', '30', '76', '94', '109', '122', '140', '155', '182', '189', '229', '267', '277', '290', '370', '433', '447', '455', '484', '487', '491', '493', '494']
['172', '9', '28', '36', '51', '56', '66', '67', '74', '108', '125', '131', '170', '173', '230', '252', '284', '293', '331', '358', '390', '404', '414', '415']
['419', '175', '184', '215', '242', '258', '261', '282', '289', '311', '314', '332', '359', '386', '393', '420', '440', '463', '465', '469', '474', '488', '489', '492']
['372', '13', '57', '64', '84', '87', '174', '212', '224', '235', '253', '256', '263', '312', '339', '364', '367', '376', '400', '401', '405', '406', '432', '464']
['124', '14', '44', '45', '89', '92', '120', '121', '129', '167', '200', '217', '233', '250', '279', '280', '297', '305', '325', '379', '383', '417', '434', '442']
['336', '25', '48', '49', '55', '75', '142', '153', '179', '194', '209', '227', '241', '255', '273', '278', '292', '315', '321', '353', '389', '391', '392', '399']
['287', '1', '3', '19', '20', '29', '50', '65', '95', '98', '104', '110', '185', '195', '295', '316', '328', '340', '350', '395', '418', '423', '425', '428']
['266', '0', '11', '61', '81', '101', '117', '132', '154', '166', '188', '301', '317', '337', '338', '369', '382', '398', '411', '421', '422', '427', '429', '436']
['446', '18', '34', '39', '62', '63', '103', '111', '118', '163', '208', '218', '238', '335', '342', '349', '354', '357', '365', '371', '373', '454', '456', '461']
['272', '2', '6', '22', '24', '42', '69', '99', '136', '141', '145', '150', '187', '216', '232', '247', '299', '308', '343', '355', '396', '437', '449', '452']
['37', '17', '23', '26', '85', '135', '161', '168', '176', '196', '203', '204', '219', '246', '262', '361', '377', '426', '435', '445', '458', '472', '475', '478']
['384', '21', '31', '47', '54', '68', '72', '83', '126', '139', '146', '192', '198', '214', '245', '268', '269', '274', '286', '327', '344', '374', '378', '412']
['453', '8', '41', '70', '112', '128', '133', '149', '162', '178', '193', '197', '213', '220', '228', '240', '257', '259', '270', '275', '368', '441', '443', '444']
['462', '35', '46', '58', '116', '199', '298', '300', '307', '318', '329', '333', '347', '356', '375', '385', '387', '394', '402', '408', '467', '471', '476', '495']
['33', '7', '27', '53', '59', '78', '96', '97', '102', '105', '159', '201', '288', '291', '303', '360', '388', '413', '416', '431', '470', '477', '480', '485']
['137', '15', '38', '60', '77', '88', '91', '93', '130', '148', '169', '181', '186', '190', '226', '271', '281', '283', '324', '348', '363', '397', '403', '438']
['113', '10', '71', '164', '165', '206', '221', '225', '231', '244', '285', '320', '341', '345', '351', '381', '450', '457', '460', '468', '473', '479', '481', '486']
['123', '171', '183', '248', '249', '260', '302', '309', '310', '407', '430', '459', '466', '482', '483', '490', '496', '497', '498']
