['95', '34', '58', '154', '367', '491', '263', '307', '212', '178', '414', '231', '15', '86', '413', '189', '426', '244', '294', '303']
['155', '258', '377', '481', '25', '29', '39', '187', '201', '239', '250', '266', '405', '487', '47', '52', '68', '139', '245', '447']
['472', '380', '49', '192', '214', '252', '259', '310', '457', '449', '7', '31', '168', '183', '207', '251', '335', '424', '12', '100']
['279', '163', '232', '477', '460', '409', '435', '27', '138', '140', '233', '248', '359', '431', '488', '32', '60', '146', '149', '164']
['337', '176', '349', '358', '440', '437', '119', '144', '157', '229', '296', '329', '332', '456', '179', '156', '321', '382', '165', '193']
['378', '33', '387', '275', '218', '490', '186', '407', '10', '340', '311', '112', '353', '216', '408', '206', '237', '448', '468', '484']
['404', '495', '159', '79', '26', '115', '211', '352', '410', '20', '71', '370', '348', '228', '319', '94', '148', '397', '450', '497']
['406', '246', '234', '0', '111', '135', '427', '200', '341', '492', '53', '152', '496', '268', '261', '330', '269', '45', '81', '454']
['430', '379', '357', '432', '85', '188', '318', '221', '210', '72', '314', '499', '394', '369', '284', '3', '106', '174', '451', '345']
['465', '384', '92', '170', '175', '381', '390', '402', '91', '132', '190', '255', '312', '1', '2', '4', '5', '6', '8', '9']
['21', '11', '13', '14', '16', '17', '18', '19', '22', '23', '24', '28', '30', '35', '36', '37', '38', '40', '41', '42']
['51', '43', '44', '46', '48', '50', '54', '55', '56', '57', '59', '61', '62', '63', '64', '66', '67', '69', '73', '74']
['65', '75', '76', '77', '78', '80', '82', '83', '84', '88', '89', '90', '93', '96', '97', '99', '101', '102', '103', '104']
['70', '105', '107', '108', '109', '110', '113', '114', '116', '117', '118', '120', '121', '122', '123', '124', '125', '126', '127', '128']
['87', '129', '130', '133', '134', '137', '141', '142', '143', '145', '147', '150', '151', '153', '158', '160', '161', '166', '167', '169']
['98', '172', '173', '177', '180', '181', '182', '184', '185', '194', '195', '196', '197', '198', '199', '202', '203', '204', '205', '208']
['131', '209', '213', '215', '217', '220', '222', '223', '224', '225', '226', '227', '230', '235', '236', '238', '240', '241', '242', '243']
['136', '247', '249', '253', '254', '256', '257', '260', '262', '264', '267', '270', '271', '272', '273', '274', '276', '277', '278', '280']
['162', '281', '282', '283', '285', '286', '287', '288', '289', '290', '291', '292', '293', '297', '298', '299', '300', '301', '302', '304']
['171', '305', '308', '309', '313', '315', '316', '317', '320', '322', '323', '324', '325', '326', '327', '328', '331', '333', '334', '336']
['191', '338', '339', '342', '343', '344', '346', '347', '350', '351', '354', '355', '356', '360', '361', '362', '363', '364', '365', '366']
['219', '368', '371', '372', '373', '374', '375', '376', '383', '385', '386', '388', '389', '391', '392', '393', '395', '396', '398', '399']
['265', '400', '401', '403', '411', '412', '415', '416', '417', '418', '419', '420', '421', '422', '423', '425', '428', '429', '433', '434']
['295', '436', '438', '439', '441', '442', '443', '444', '445', '446', '452', '453', '455', '458', '459', '461', '462', '463', '464', '466']
['306', '467', '469', '470', '471', '473', '474', '475', '476', '478', '479', '480', '482', '483', '485', '486', '489', '493', '494', '498']
