['132', '56', '66', '76', '80', '104', '112', '140', '142', '152', '159', '160', '190', '211', '217', '235', '258', '272', '273', '303', '310', '314']
['450', '0', '45', '59', '64', '71', '78', '141', '188', '208', '271', '275', '302', '336', '351', '352', '353', '354', '396', '400', '408', '444']
['462', '25', '65', '92', '114', '129', '133', '174', '182', '189', '199', '213', '215', '222', '247', '279', '298', '321', '349', '403', '432', '460']
['474', '5', '58', '67', '72', '102', '135', '146', '158', '175', '230', '246', '248', '318', '330', '355', '356', '412', '467', '469', '476', '477']
['214', '23', '26', '48', '68', '116', '119', '130', '178', '227', '239', '259', '260', '296', '297', '315', '380', '413', '417', '449', '452', '13']
['443', '11', '62', '157', '170', '191', '209', '274', '288', '320', '323', '324', '338', '341', '342', '358', '393', '395', '397', '399', '435', '445']
['384', '12', '46', '55', '69', '96', '139', '151', '155', '164', '184', '219', '220', '294', '307', '322', '331', '369', '389', '390', '451', '453']
['470', '19', '24', '29', '34', '89', '101', '115', '131', '148', '165', '167', '192', '195', '206', '232', '250', '253', '290', '304', '367', '418']
['100', '8', '27', '30', '40', '44', '47', '51', '53', '106', '121', '125', '149', '153', '161', '186', '221', '236', '237', '278', '300', '301']
['77', '28', '43', '50', '88', '118', '126', '136', '183', '205', '244', '249', '280', '327', '328', '333', '334', '368', '420', '429', '433', '448']
['33', '3', '37', '39', '61', '73', '110', '168', '173', '181', '194', '228', '233', '281', '286', '325', '344', '363', '436', '440', '463', '464']
['282', '9', '31', '42', '57', '86', '93', '128', '197', '234', '360', '361', '383', '402', '406', '416', '426', '446', '447', '455', '459', '472']
['468', '17', '54', '70', '94', '138', '144', '156', '171', '179', '201', '202', '266', '283', '313', '340', '373', '376', '424', '442', '465', '466']
['379', '15', '35', '75', '84', '120', '163', '196', '198', '218', '245', '257', '263', '270', '277', '287', '291', '319', '332', '347', '374', '375']
['434', '99', '105', '143', '150', '176', '216', '243', '254', '265', '269', '305', '306', '335', '339', '371', '381', '387', '404', '415', '428', '430']
['427', '2', '6', '20', '36', '85', '107', '113', '124', '172', '193', '203', '207', '225', '251', '312', '337', '359', '385', '405', '407', '421']
['229', '14', '22', '38', '90', '95', '108', '162', '169', '177', '185', '223', '224', '231', '252', '267', '268', '284', '285', '292', '311', '316']
['122', '87', '97', '103', '111', '137', '145', '147', '241', '264', '289', '299', '317', '326', '362', '365', '370', '378', '386', '391', '411', '423']
['410', '52', '60', '117', '200', '212', '238', '255', '261', '388', '401', '441', '461', '471', '473', '475', '478', '479', '480', '481', '482', '483']
['10', '16', '41', '74', '83', '166', '204', '256', '262', '329', '345', '348', '366', '392', '398', '419', '422', '431', '437', '438', '454', '458']
['123', '4', '7', '18', '21', '49', '63', '82', '98', '180', '187', '210', '242', '293', '295', '308', '350', '377', '425', '439', '456', '457']
['276', '1', '32', '79', '81', '91', '109', '127', '134', '154', '226', '240', '309', '343', '346', '357', '364', '372', '382', '394', '409', '414']
