['361', '20', '24', '36', '111', '136', '148', '199', '205', '206', '210', '211', '271', '309', '317', '335', '338', '359', '374', '378']
['391', '0', '5', '8', '15', '34', '52', '83', '96', '123', '156', '164', '178', '204', '212', '286', '287', '288', '290', '299']
['262', '4', '28', '42', '115', '118', '121', '128', '145', '147', '154', '174', '179', '214', '221', '222', '282', '323', '329', '337']
['74', '32', '37', '57', '77', '82', '116', '127', '130', '160', '200', '224', '228', '252', '253', '260', '304', '332', '348', '370']
['64', '33', '38', '40', '94', '101', '109', '172', '184', '235', '236', '249', '276', '279', '280', '285', '300', '307', '322', '343']
['81', '14', '19', '23', '31', '50', '98', '102', '110', '135', '139', '146', '150', '193', '203', '213', '230', '246', '289', '328']
['120', '7', '18', '44', '75', '92', '97', '104', '105', '175', '187', '207', '234', '293', '298', '301', '314', '381', '384', '388']
['327', '9', '10', '30', '54', '85', '103', '125', '138', '190', '196', '201', '216', '339', '351', '354', '355', '366', '375', '380']
['181', '41', '48', '72', '129', '142', '168', '169', '176', '177', '182', '274', '302', '312', '365', '376', '393', '394', '396', '397']
['232', '16', '49', '62', '68', '80', '88', '122', '140', '161', '198', '278', '284', '294', '313', '320', '333', '350', '360', '372']
['143', '29', '61', '69', '71', '93', '112', '137', '165', '166', '167', '251', '255', '259', '266', '270', '277', '308', '321', '334']
['197', '70', '87', '100', '114', '132', '157', '186', '192', '194', '208', '217', '225', '241', '283', '297', '324', '326', '349', '371']
['369', '2', '3', '25', '27', '51', '86', '91', '95', '149', '202', '219', '223', '239', '244', '248', '256', '265', '268', '275']
['76', '21', '43', '45', '67', '107', '131', '185', '195', '209', '229', '237', '267', '281', '292', '295', '296', '325', '341', '347']
['59', '39', '47', '55', '58', '65', '66', '79', '99', '152', '163', '188', '220', '233', '250', '273', '305', '306', '310', '331']
['261', '11', '53', '60', '78', '89', '106', '144', '173', '254', '263', '357', '358', '377', '382', '383', '385', '386', '392', '395']
['90', '13', '22', '56', '63', '108', '119', '151', '158', '191', '226', '238', '258', '315', '342', '346', '353', '356', '367', '368']
['264', '26', '46', '134', '141', '170', '215', '218', '227', '240', '242', '245', '247', '269', '303', '316', '330', '336', '340', '345']
['12', '1', '6', '84', '113', '117', '133', '153', '162', '180', '189', '318', '319', '362', '373', '387', '389', '390', '398', '399']
['159', '17', '35', '73', '124', '126', '155', '171', '183', '231', '243', '257', '272', '291', '311', '344', '352', '363', '364', '379']
