['119', '32', '37', '51', '57', '84', '86', '88', '90', '102', '111', '121', '128', '136', '149', '150']
['180', '3', '14', '20', '22', '25', '50', '64', '76', '80', '83', '92', '99', '108', '129', '146']
['18', '12', '27', '40', '106', '131', '161', '206', '207', '229', '235', '237', '241', '243', '248', '251']
['138', '11', '31', '42', '47', '49', '78', '96', '97', '126', '132', '133', '143', '184', '188', '189']
['185', '29', '36', '46', '87', '137', '140', '141', '152', '192', '195', '208', '212', '213', '214', '221']
['89', '15', '45', '60', '62', '65', '69', '70', '101', '103', '109', '110', '139', '155', '162', '164']
['95', '24', '34', '148', '160', '166', '169', '193', '194', '204', '220', '227', '233', '246', '249', '250']
['73', '33', '48', '54', '58', '61', '72', '79', '93', '165', '171', '172', '173', '186', '223', '226']
['215', '17', '39', '68', '75', '91', '105', '116', '122', '125', '153', '154', '159', '176', '178', '179']
['239', '2', '4', '10', '41', '114', '123', '157', '177', '191', '210', '219', '236', '238', '244', '252']
['23', '6', '7', '56', '59', '98', '170', '201', '211', '218', '242', '245', '247', '253', '254', '255']
['8', '9', '16', '19', '28', '35', '63', '71', '82', '134', '167', '168', '174', '175', '197', '209']
['232', '0', '67', '94', '104', '115', '120', '130', '142', '145', '158', '163', '183', '196', '200', '202']
['205', '30', '44', '55', '77', '107', '118', '182', '190', '198', '199', '203', '224', '225', '231', '234']
['5', '1', '26', '38', '81', '85', '144', '147', '151', '181', '216', '217', '222', '228', '230', '240']
['187', '13', '21', '43', '52', '53', '66', '74', '100', '112', '113', '117', '124', '127', '135', '156']
