['445', '243', '252', '121', '90', '306', '179', '424', '180', '469', '135', '255', '185', '22', '452', '29']
['72', '115', '144', '152', '215', '432', '334', '495', '264', '214', '346', '123', '317', '20', '142', '311']
['288', '426', '68', '309', '37', '203', '298', '297', '256', '356', '263', '77', '404', '181', '107', '342']
['109', '197', '62', '13', '103', '94', '231', '281', '381', '158', '114', '96', '244', '33', '477', '304']
['340', '384', '391', '240', '354', '360', '420', '108', '464', '441', '411', '440', '125', '228', '289', '186']
['396', '119', '274', '120', '362', '466', '53', '358', '233', '352', '189', '450', '219', '465', '12', '468']
['373', '481', '136', '436', '406', '199', '361', '428', '216', '222', '44', '188', '374', '239', '163', '393']
['380', '447', '355', '461', '246', '299', '113', '394', '344', '30', '402', '149', '87', '458', '140', '291']
['111', '48', '401', '266', '5', '202', '139', '370', '442', '438', '443', '489', '258', '487', '81', '183']
['31', '4', '171', '227', '262', '93', '245', '153', '8', '182', '236', '67', '184', '204', '301', '229']
['277', '300', '78', '131', '345', '166', '209', '471', '339', '36', '168', '28', '307', '423', '39', '265']
['1', '457', '58', '330', '150', '100', '3', '462', '73', '50', '454', '211', '85', '429', '273', '491']
['405', '348', '422', '434', '217', '369', '268', '17', '368', '165', '192', '110', '279', '283', '175', '40']
['70', '118', '395', '336', '95', '357', '218', '482', '112', '80', '76', '335', '282', '269', '433', '41']
['347', '212', '205', '473', '460', '316', '6', '176', '333', '292', '223', '326', '23', '425', '79', '305']
['379', '294', '383', '378', '419', '410', '388', '147', '431', '248', '332', '415', '177', '284', '350', '237']
['476', '412', '485', '459', '82', '295', '52', '173', '15', '21', '470', '421', '230', '325', '117', '320']
['250', '56', '253', '400', '47', '35', '290', '198', '210', '416', '385', '372', '451', '389', '138', '161']
['399', '75', '141', '196', '26', '157', '409', '259', '195', '101', '275', '479', '63', '84', '129', '483']
['446', '124', '92', '475', '338', '14', '260', '276', '57', '407', '71', '122', '190', '331', '164', '382']
['486', '54', '455', '430', '104', '364', '249', '403', '474', '132', '172', '187', '151', '271', '375', '367']
['312', '341', '494', '213', '313', '45', '456', '86', '267', '484', '206', '302', '155', '398', '133', '25']
['232', '365', '170', '49', '247', '46', '463', '234', '444', '337', '439', '386', '208', '327', '207', '83']
['480', '349', '2', '9', '293', '272', '472', '134', '427', '64', '417', '178', '159', '137', '278', '343']
['241', '154', '126', '194', '7', '328', '127', '60', '91', '200', '55', '392', '43', '478', '61', '169']
['414', '10', '390', '235', '490', '287', '359', '191', '280', '65', '238', '221', '98', '38', '353', '226']
['160', '106', '143', '242', '488', '408', '315', '174', '145', '351', '492', '97', '323', '318', '156', '286']
['201', '376', '224', '448', '371', '449', '11', '467', '51', '397', '148', '220', '105', '24', '310', '34']
['254', '225', '363', '59', '27', '453', '321', '366', '329', '32', '261', '99', '257', '324', '413', '74']
['193', '130', '308', '251', '88', '296', '116', '387', '69', '496', '16', '319', '19', '377', '167', '303']
['435', '322', '66', '493', '437', '270', '128', '18', '42', '146', '285', '314', '89', '102', '162', '418']
