['102', '3', '5', '7', '9', '11', '12', '14', '15', '17', '22', '27', '30', '32', '39', '44', '47', '51', '59', '73']
['322', '77', '120', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '113', '114', '115', '116', '117', '154', '143']
['101', '151', '144', '153', '157', '228', '224', '237', '236', '230', '385', '381', '395', '380', '383', '268', '260', '270', '276', '272']
['41', '279', '273', '271', '281', '292', '282', '297', '289', '483', '482', '226', '231', '238', '329', '332', '327', '333', '325', '197']
['361', '188', '191', '181', '183', '222', '220', '229', '476', '469', '460', '475', '386', '396', '390', '392', '355', '358', '350', '387']
['162', '221', '6', '10', '21', '25', '38', '50', '54', '55', '65', '70', '80', '82', '84', '86', '89', '92', '96', '119']
['362', '121', '123', '131', '149', '167', '168', '171', '177', '187', '189', '190', '196', '199', '223', '227', '235', '285', '291', '294']
['161', '340', '323', '324', '326', '328', '330', '331', '334', '335', '336', '337', '494', '499', '466', '474', '477', '479', '463', '354']
['462', '344', '345', '353', '343', '346', '347', '442', '0', '8', '43', '52', '74', '88', '97', '98', '184', '194', '430', '433']
['61', '439', '434', '225', '398', '389', '397', '287', '288', '298', '232', '208', '207', '204', '205', '219', '414', '413', '394', '399']
['262', '382', '465', '393', '403', '401', '405', '301', '60', '45', '46', '48', '49', '53', '56', '57', '213', '214', '467', '371']
['461', '372', '364', '426', '428', '275', '263', '277', '349', '290', '296', '137', '135', '139', '448', '457', '456', '363', '420', '425']
['1', '132', '126', '91', '411', '402', '415', '165', '163', '164', '173', '440', '444', '309', '314', '305', '306', '24', '33', '34']
['42', '66', '68', '72', '78', '118', '158', '180', '182', '233', '264', '267', '293', '303', '310', '339', '365', '366', '367', '368']
['261', '369', '370', '373', '374', '375', '376', '377', '388', '421', '427', '418', '391', '28', '31', '36', '37', '69', '76', '79']
['321', '133', '134', '136', '138', '166', '169', '170', '172', '174', '175', '176', '318', '319', '300', '280', '284', '249', '251', '246']
['2', '258', '259', '240', '256', '242', '248', '274', '407', '419', '406', '254', '255', '257', '481', '485', '493', '312', '307', '311']
['341', '18', '140', '147', '148', '150', '152', '155', '156', '159', '203', '299', '304', '308', '313', '315', '316', '458', '449', '424']
['141', '438', '470', '472', '422', '29', '35', '83', '85', '404', '455', '488', '243', '253', '20', '87', '93', '125', '127', '206']
['62', '211', '216', '317', '417', '480', '464', '468', '471', '473', '495', '491', '492', '498', '63', '64', '67', '71', '75', '443']
['81', '452', '302', '90', '209', '200', '94', '95', '244', '146', '359', '348', '447', '453', '450', '446', '16', '19', '124', '130']
['201', '160', '178', '265', '266', '269', '486', '445', '454', '357', '40', '99', '192', '193', '212', '218', '295', '423', '435', '436']
['342', '4', '13', '239', '351', '122', '283', '478', '338', '432', '484', '489', '356', '352', '378', '179', '215', '241', '247', '412']
['202', '384', '185', '186', '487', '100', '441', '451', '195', '234', '360', '379', '129', '145', '437', '496', '128', '210', '217', '250']
['142', '497', '400', '416', '431', '429', '198', '252', '245', '409', '23', '26', '58', '278', '286', '320', '408', '410', '459', '490']
