['205', '220', '249', '6', '312', '137', '348', '347', '2', '206', '121', '18', '131', '125', '196', '190', '31', '361', '219', '245']
['379', '76', '333', '270', '289', '375', '291', '162', '8', '343', '374', '230', '253', '303', '229', '320', '298', '138', '371', '394']
['1', '132', '387', '148', '328', '250', '252', '0', '99', '345', '228', '102', '267', '218', '104', '357', '127', '316', '72', '310']
['69', '85', '272', '171', '172', '141', '192', '25', '377', '308', '165', '315', '32', '152', '276', '166', '280', '63', '311', '161']
['269', '232', '163', '258', '203', '284', '108', '82', '359', '36', '28', '353', '140', '288', '144', '156', '74', '98', '155', '300']
['179', '376', '313', '151', '257', '244', '198', '331', '260', '113', '295', '120', '12', '21', '61', '327', '324', '91', '65', '90']
['281', '182', '177', '35', '240', '183', '22', '325', '214', '174', '226', '43', '216', '292', '170', '235', '227', '392', '383', '96']
['201', '354', '239', '329', '306', '224', '164', '129', '275', '299', '200', '297', '167', '254', '23', '67', '393', '147', '356', '73']
['39', '213', '301', '142', '145', '259', '159', '100', '173', '158', '274', '246', '27', '194', '109', '114', '360', '49', '237', '212']
['358', '326', '42', '112', '266', '128', '336', '3', '77', '136', '290', '81', '176', '378', '48', '330', '11', '287', '133', '231']
['233', '242', '302', '13', '193', '54', '251', '332', '122', '234', '264', '29', '293', '318', '94', '178', '123', '262', '58', '381']
['146', '207', '186', '149', '20', '97', '89', '340', '241', '59', '78', '130', '126', '116', '277', '391', '221', '304', '399', '75']
['263', '385', '256', '19', '92', '93', '323', '41', '398', '349', '95', '55', '282', '283', '51', '184', '37', '175', '64', '40']
['5', '168', '117', '211', '307', '105', '265', '372', '222', '10', '4', '9', '62', '47', '261', '34', '139', '124', '80', '388']
['248', '66', '160', '384', '309', '119', '111', '355', '189', '83', '362', '350', '70', '341', '370', '53', '38', '285', '57', '268']
['255', '52', '365', '199', '339', '364', '26', '33', '380', '185', '197', '210', '346', '209', '352', '50', '169', '314', '395', '56']
['338', '368', '243', '271', '45', '225', '135', '157', '180', '286', '17', '373', '60', '181', '366', '204', '150', '223', '103', '386']
['191', '14', '46', '363', '208', '278', '296', '273', '84', '334', '44', '107', '143', '335', '101', '317', '79', '238', '279', '389']
['294', '88', '382', '195', '30', '153', '71', '187', '322', '16', '390', '344', '202', '236', '134', '68', '87', '305', '7', '351']
['24', '106', '367', '15', '217', '86', '188', '247', '215', '337', '319', '115', '369', '342', '397', '321', '110', '396', '154', '118']
