['188', '17', '35', '112', '120', '144', '194', '195', '227', '233', '235', '244', '268', '291', '323', '330', '355', '366', '383', '384']
['196', '18', '53', '58', '67', '98', '114', '118', '137', '151', '263', '266', '376', '387', '394', '395', '396', '397', '398', '399']
['276', '1', '4', '111', '121', '125', '133', '135', '175', '193', '202', '206', '301', '307', '346', '358', '369', '380', '381', '386']
['341', '65', '66', '164', '173', '180', '187', '210', '243', '249', '260', '304', '312', '328', '337', '340', '350', '363', '373', '378']
['147', '6', '12', '30', '64', '76', '87', '99', '122', '139', '150', '165', '183', '201', '219', '222', '256', '269', '302', '303']
['334', '22', '39', '44', '83', '162', '200', '203', '218', '231', '250', '273', '331', '335', '343', '344', '347', '360', '372', '379']
['166', '56', '131', '148', '154', '158', '160', '177', '221', '234', '255', '259', '281', '296', '309', '325', '338', '339', '352', '361']
['168', '5', '10', '25', '69', '93', '97', '117', '141', '199', '223', '224', '225', '274', '277', '280', '284', '293', '327', '349']
['85', '55', '77', '101', '103', '229', '258', '262', '286', '287', '342', '353', '364', '375', '377', '385', '388', '389', '392', '393']
['100', '11', '41', '46', '54', '89', '95', '126', '136', '142', '149', '169', '172', '182', '232', '242', '247', '261', '314', '319']
['228', '37', '57', '59', '75', '91', '109', '116', '119', '156', '157', '189', '289', '311', '317', '318', '333', '356', '362', '374']
['320', '7', '16', '28', '33', '43', '60', '72', '81', '113', '130', '174', '179', '207', '208', '213', '257', '271', '326', '348']
['240', '0', '8', '14', '21', '26', '86', '88', '145', '178', '181', '192', '198', '209', '212', '217', '248', '275', '313', '321']
['132', '13', '29', '34', '51', '70', '71', '96', '107', '115', '140', '143', '184', '185', '204', '205', '216', '237', '239', '241']
['15', '27', '31', '36', '50', '94', '108', '124', '176', '186', '214', '230', '278', '282', '310', '324', '336', '368', '371', '382']
['90', '3', '9', '19', '40', '42', '52', '123', '128', '146', '153', '159', '245', '264', '292', '305', '306', '345', '354', '365']
['102', '20', '32', '47', '78', '79', '92', '106', '134', '161', '197', '211', '279', '290', '295', '316', '351', '370', '390', '391']
['61', '23', '24', '38', '45', '68', '82', '84', '127', '163', '170', '191', '220', '236', '253', '254', '285', '288', '298', '299']
['215', '49', '62', '80', '110', '129', '167', '171', '190', '226', '251', '267', '270', '272', '297', '300', '308', '315', '357', '359']
['246', '2', '48', '63', '73', '74', '104', '105', '138', '152', '155', '238', '252', '265', '283', '294', '322', '329', '332', '367']
