['380', '26', '36', '85', '115', '142', '152', '160', '193', '238', '280', '311', '323', '338', '405', '413', '420', '438', '451', '468']
['60', '42', '93', '127', '185', '229', '247', '255', '277', '291', '297', '299', '368', '414', '417', '428', '441', '469', '476', '480']
['44', '12', '21', '56', '84', '109', '119', '136', '155', '180', '211', '213', '305', '351', '391', '404', '442', '452', '484', '492']
['423', '31', '75', '117', '239', '322', '357', '360', '377', '388', '395', '407', '429', '430', '448', '470', '472', '481', '495', '499']
['222', '67', '70', '87', '113', '120', '130', '141', '156', '169', '250', '253', '265', '298', '308', '325', '371', '411', '450', '455']
['105', '4', '5', '13', '23', '125', '132', '134', '140', '182', '202', '206', '218', '258', '259', '290', '304', '354', '356', '358']
['295', '2', '11', '46', '65', '82', '83', '94', '104', '111', '116', '252', '254', '262', '274', '281', '292', '324', '328', '355']
['245', '14', '35', '45', '128', '135', '137', '145', '146', '167', '196', '214', '224', '234', '237', '314', '339', '381', '382', '397']
['47', '25', '32', '59', '62', '106', '159', '208', '236', '256', '346', '370', '393', '408', '434', '446', '460', '463', '471', '483']
['464', '0', '48', '139', '195', '220', '235', '287', '288', '313', '321', '326', '359', '437', '443', '445', '457', '485', '487', '491']
['100', '10', '24', '39', '74', '154', '178', '181', '203', '216', '230', '272', '273', '283', '300', '332', '362', '372', '376', '436']
['28', '79', '143', '187', '260', '271', '275', '303', '343', '369', '373', '386', '387', '394', '412', '447', '479', '482', '486', '488']
['138', '33', '43', '91', '102', '118', '149', '183', '199', '243', '267', '270', '317', '334', '342', '384', '389', '416', '419', '440']
['444', '6', '16', '37', '41', '78', '88', '161', '188', '197', '204', '217', '223', '282', '289', '327', '336', '341', '365', '403']
['301', '68', '99', '101', '122', '133', '175', '191', '201', '212', '244', '251', '276', '293', '296', '306', '333', '335', '350', '366']
['453', '20', '81', '114', '126', '150', '151', '162', '189', '215', '319', '385', '398', '409', '410', '427', '431', '456', '475', '478']
['364', '51', '57', '61', '72', '171', '174', '179', '190', '228', '269', '294', '378', '435', '459', '465', '477', '490', '494', '497']
['76', '29', '52', '80', '89', '103', '121', '123', '131', '144', '170', '192', '227', '233', '286', '352', '449', '454', '462', '466']
['279', '3', '50', '58', '147', '184', '268', '285', '315', '320', '329', '344', '349', '406', '458', '474', '489', '493', '496', '498']
['399', '38', '53', '71', '73', '96', '157', '165', '198', '219', '226', '241', '340', '367', '392', '396', '426', '461', '467', '473']
['232', '1', '15', '49', '164', '173', '177', '205', '225', '231', '248', '278', '307', '312', '331', '347', '418', '424', '432', '439']
['240', '22', '54', '66', '112', '166', '172', '176', '194', '200', '207', '246', '249', '261', '302', '309', '310', '353', '363', '379']
['210', '30', '34', '63', '64', '86', '92', '98', '153', '168', '221', '266', '316', '330', '348', '383', '421', '422', '425', '433']
['401', '7', '8', '9', '17', '18', '90', '97', '108', '129', '186', '257', '263', '264', '284', '318', '337', '361', '374', '375']
['163', '19', '27', '40', '55', '69', '77', '95', '107', '110', '124', '148', '158', '209', '242', '345', '390', '400', '402', '415']
