['460', '40', '69', '95', '118', '155', '199', '211', '284', '293', '348', '368', '379', '392', '397', '400', '406', '431', '445', '467']
['365', '14', '15', '76', '85', '90', '101', '103', '173', '189', '227', '358', '394', '436', '442', '449', '452', '455', '462', '491']
['389', '12', '59', '60', '98', '148', '197', '262', '264', '322', '415', '419', '420', '447', '470', '483', '492', '494', '495', '498']
['381', '20', '51', '150', '174', '191', '213', '238', '248', '277', '279', '295', '307', '325', '352', '396', '433', '441', '478', '480']
['323', '44', '48', '73', '86', '87', '128', '146', '179', '196', '219', '221', '252', '265', '266', '300', '314', '318', '329', '351']
['260', '11', '97', '131', '134', '186', '222', '241', '283', '296', '326', '338', '356', '414', '422', '428', '429', '439', '448', '481']
['209', '1', '19', '30', '33', '41', '43', '64', '108', '132', '172', '202', '217', '258', '280', '286', '301', '374', '380', '430']
['332', '8', '25', '39', '45', '56', '71', '99', '102', '178', '182', '204', '207', '225', '245', '285', '346', '363', '475', '476']
['171', '0', '82', '93', '115', '124', '162', '180', '203', '229', '236', '324', '328', '354', '361', '367', '373', '384', '418', '456']
['339', '52', '70', '72', '105', '119', '130', '167', '176', '212', '215', '228', '270', '278', '290', '320', '344', '399', '402', '440']
['369', '37', '49', '75', '83', '89', '138', '141', '145', '157', '214', '234', '261', '268', '281', '288', '334', '350', '366', '385']
['26', '23', '31', '35', '38', '96', '116', '163', '206', '223', '235', '243', '282', '310', '319', '362', '468', '471', '484', '486']
['201', '32', '53', '68', '94', '123', '154', '159', '220', '249', '259', '267', '276', '292', '327', '386', '403', '407', '450', '454']
['405', '2', '16', '28', '57', '63', '92', '109', '133', '224', '230', '253', '297', '304', '337', '343', '376', '416', '421', '427']
['330', '4', '17', '18', '22', '61', '74', '106', '111', '125', '137', '140', '151', '153', '158', '188', '208', '312', '340', '349']
['299', '9', '13', '47', '54', '136', '156', '184', '190', '218', '263', '388', '424', '432', '457', '472', '473', '493', '497', '499']
['147', '3', '7', '21', '100', '135', '152', '187', '247', '251', '272', '309', '311', '383', '413', '417', '463', '465', '474', '488']
['479', '42', '55', '110', '113', '121', '129', '160', '165', '175', '177', '193', '198', '232', '237', '246', '254', '313', '355', '391']
['443', '24', '36', '46', '77', '142', '143', '144', '149', '168', '183', '185', '194', '195', '242', '244', '269', '336', '375', '393']
['435', '29', '50', '65', '78', '104', '112', '120', '161', '192', '256', '294', '306', '308', '315', '377', '378', '387', '404', '446']
['466', '79', '164', '216', '226', '239', '250', '255', '257', '275', '302', '303', '342', '390', '425', '437', '453', '469', '485', '490']
['341', '62', '91', '117', '139', '170', '317', '345', '364', '370', '372', '398', '408', '423', '434', '451', '458', '461', '477', '496']
['81', '34', '122', '126', '166', '169', '200', '231', '271', '289', '321', '335', '382', '395', '410', '411', '438', '459', '464', '482']
['114', '5', '6', '58', '66', '67', '181', '205', '273', '274', '357', '359', '371', '401', '409', '412', '426', '444', '487', '489']
['10', '27', '80', '84', '88', '107', '127', '210', '233', '240', '287', '291', '298', '305', '316', '331', '333', '347', '353', '360']
