['385', '9', '13', '19', '28', '35', '37', '39', '69', '73', '101', '141', '152', '161', '180', '202', '206', '224', '228', '230', '240', '254', '280', '281', '295']
['329', '11', '27', '106', '112', '158', '200', '226', '249', '290', '303', '327', '339', '354', '355', '361', '406', '412', '413', '461', '463', '469', '477', '478', '479']
['43', '29', '34', '77', '83', '107', '125', '133', '144', '174', '198', '221', '277', '296', '356', '383', '397', '399', '408', '424', '430', '450', '454', '456', '459']
['23', '21', '48', '53', '56', '115', '117', '160', '169', '177', '182', '197', '215', '238', '247', '271', '274', '291', '337', '370', '411', '425', '447', '462', '465']
['108', '59', '66', '118', '136', '139', '209', '212', '216', '220', '245', '252', '258', '273', '293', '301', '346', '358', '389', '403', '410', '418', '427', '433', '444']
['242', '47', '57', '61', '76', '92', '95', '113', '123', '145', '173', '178', '179', '184', '203', '232', '267', '298', '328', '332', '365', '376', '380', '426', '428']
['199', '1', '7', '10', '15', '70', '98', '111', '135', '214', '225', '227', '241', '283', '318', '338', '378', '381', '386', '455', '464', '474', '490', '498', '499']
['55', '45', '62', '74', '78', '86', '89', '114', '120', '130', '132', '194', '196', '222', '229', '268', '284', '302', '315', '317', '342', '347', '349', '368', '369']
['58', '25', '68', '97', '100', '110', '122', '137', '142', '156', '162', '190', '233', '239', '246', '256', '257', '259', '260', '264', '325', '341', '366', '367', '398']
['50', '2', '12', '30', '31', '42', '60', '82', '87', '93', '99', '146', '147', '148', '155', '157', '191', '204', '244', '265', '297', '309', '330', '334', '335']
['484', '16', '71', '116', '154', '172', '205', '231', '248', '270', '305', '340', '377', '404', '416', '442', '449', '470', '480', '481', '483', '486', '487', '488', '492']
['311', '22', '40', '126', '138', '163', '167', '168', '171', '195', '251', '261', '276', '304', '326', '343', '374', '390', '396', '443', '451', '467', '489', '494', '495']
['364', '20', '51', '64', '65', '72', '84', '85', '102', '181', '185', '189', '210', '213', '217', '223', '236', '237', '282', '306', '320', '353', '357', '373', '420']
['387', '91', '124', '159', '176', '193', '262', '266', '279', '287', '288', '289', '312', '395', '401', '409', '422', '431', '448', '471', '476', '482', '485', '493', '497']
['460', '5', '81', '103', '164', '207', '211', '250', '253', '292', '294', '333', '336', '344', '362', '363', '372', '382', '407', '429', '432', '435', '436', '439', '440']
['275', '4', '8', '17', '26', '32', '36', '49', '67', '80', '88', '104', '119', '143', '149', '186', '192', '201', '208', '219', '234', '235', '307', '308', '313']
['414', '24', '33', '41', '46', '63', '94', '105', '127', '140', '165', '175', '188', '255', '321', '323', '352', '392', '405', '434', '438', '452', '458', '472', '475']
['170', '0', '79', '90', '96', '109', '131', '134', '269', '310', '316', '319', '322', '324', '331', '348', '360', '388', '400', '417', '419', '423', '445', '446', '457']
['14', '3', '6', '38', '52', '75', '128', '151', '153', '183', '187', '285', '286', '351', '371', '379', '391', '437', '441', '453', '466', '468', '473', '491', '496']
['278', '18', '44', '54', '121', '129', '150', '166', '218', '243', '263', '272', '299', '300', '314', '345', '350', '359', '375', '384', '393', '394', '402', '415', '421']
